Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
Fortune,Damon & Naomi,,MASTER,,,2015,,,,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/damon-and-naomi-fortune.jpg,,,[089] Damon & Naomi - Fortune|https://www.fullofwishes.co.uk/2023/11/13/my-record-collection-086-damon-naomi-fortune/
Fortune,Damon & Naomi,,LP,,,2015,20|20|20,202020.15LP,The Seeker|Amnesia|It's Over|Reflections|A Shining Dream|Shadows,Towards Tomorrow|Sky Memories|Hurt House|The North Light|Time Won't Own Me,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/damon-and-naomi-fortune.jpg,,|theseeker|amnesia|itsover|reflections|ashiningdream|shadows|towardstomorrow|skymemories|hurthouse|thenorthlight|timewontownme|||,
Fortune,Damon & Naomi,,CD,,,2015,20|20|20,202020.15,The Seeker|Amnesia|It's Over|Reflections|A Shining Dream|Shadows|Towards Tomorrow|Sky Memories|Hurt House|The North Light,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/damon-and-naomi-fortune.jpg,,|theseeker|amnesia|itsover|reflections|ashiningdream|shadows|towardstomorrow|skymemories|hurthouse|thenorthlight||||,
