luna,luna,Luna,2001,2001-02-03,,1994-01-01,,,Knitting Factory,New York,NY,USA,knitting-factory-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Sean Eden - guitar|Lee Wall - drums|Britta Phillips - bass,,,,,,,,,,Y
luna,luna,Luna,2002,2002-10-29,,1994-01-01,,,Dingwalls,London,,UK,dingwalls-london-uk,,,"Dean Wareham - guitar, vocals|Sean Eden - guitar|Lee Wall - drums|Britta Phillips - bass",1995|Lovedust|Four Thousand Days|Mermaid Eyes|Pup Tent|Freakin' and Peakin'|Bewitched|Weird And Woozy|Tiger Lily|Black Postcards|Bonnie and Clyde|Moon Palace|Friendly Advice|Tugboat|23 Minutes in Brussels|Indian Summer,,,,,,,,|1995|lovedust|fourthousanddays|mermaideyes|puptent|freakinandpeakin|bewitched|weirdandwoozy|tigerlily|blackpostcards|bonnieandclyde|moonpalace|friendlyadvice|tugboat|23minutesinbrussels|indiansummer|,Y
luna,luna,Luna,2005,2005-01-17,,1994-01-01,,,ULU,London,,UK,ulu-london-uk,,,"Dean Wareham - guitar, vocals|Sean Eden - guitar|Lee Wall - drums|Britta Phillips - bass",Malibu Love Nest|Lovedust|Speedbumps|Bewitched|Broken Chair|Friendly Advice|Hey Sister|Moon Palace|Tiger Lily|Pup Tent|Chinatown|Tugboat|Bonnie and Clyde|Black Postcards|Fuzzy Wuzzy|23 Minutes in Brussels|Indian Summer,,,,,,,,|malibulovenest|lovedust|speedbumps|bewitched|brokenchair|friendlyadvice|heysister|moonpalace|tigerlily|puptent|chinatown|tugboat|bonnieandclyde|blackpostcards|fuzzywuzzy|23minutesinbrussels|indiansummer|,Y
luna,luna,Luna,2015,2015-07-30,,1994-01-01,,,Sticky Mike's Frog Bar,Brighton,,UK,sticky-mikes-frog-bar-brighton-uk,,,Dean Wareham - guitar/vocals|Sean Eden - guitar/vocals|Lee Wall - drums|Britta Phillips - bass/vocals,Slide|Chinatown|Sideshow by the Seashore|Malibu Love Nest|Going Home|Tiger Lily|Tracy I Love You|Bewitched|Lost in Space|California (All The Way)|Moon Palace|Friendly Advice|23 Minutes in Brussels|^encore|Blue Thunder|Indian Summer,,,https://media.fullofwishes.co.uk/02-luna/show_assets/2015-07-30/2015-07-30-luna-sticky-mikes-brighton-poster.jpg,https://www.gigantic.com/luna-the-old-market-hove-2015-07-30-19-30,https://www.drinkinbrighton.co.uk/events/stickymikesfrogbar/2015/07/29,,Support from Flowers,|slide|chinatown|sideshowbytheseashore|malibulovenest|goinghome|tigerlily|tracyiloveyou|bewitched|lostinspace|californiaalltheway|moonpalace|friendlyadvice|23minutesinbrussels|encore|bluethunder|indiansummer|,Y
luna,luna,Luna,2015,2015-07-31,,1994-01-01,,,The Garage,London,,UK,the-garage-london-uk,,,Dean Wareham - guitar/vocals|Sean Eden - guitar/vocals|Lee Wall - drums|Britta Phillips - bass/vocals,Slide|Chinatown|Sideshow by the Seashore|Malibu Love Nest|Tiger Lily|This Time Around|Friendly Advice|Tracy I Love You|Cindy Tastes of Barbecue|Lost in Space|Bobby Peru|Moon Palace|23 Minutes in Brussels|^encore|Anesthesia|Blue Thunder|Indian Summer,,,https://media.fullofwishes.co.uk/02-luna/show_assets/2015-07-31/20150731-luna-london-new.jpg,http://www.ticketweb.co.uk/event/AJI3107Z,,,Support from Flowers and El May,|slide|chinatown|sideshowbytheseashore|malibulovenest|tigerlily|thistimearound|friendlyadvice|tracyiloveyou|cindytastesofbarbecue|lostinspace|bobbyperu|moonpalace|23minutesinbrussels|encore|anesthesia|bluethunder|indiansummer|,Y
luna,luna,Luna,2015,2015-08-01,,1994-01-01,,,Brudenell Social Club,Leeds,,UK,brudenell-social-club-leeds-uk,,,Dean Wareham - guitar/vocals|Sean Eden - guitar/vocals|Lee Wall - drums|Britta Phillips - bass/vocals,Chinatown|Malibu Love Nest|Sideshow by the Seashore|Still at Home|Friendly Advice|Speedbumps|Tracy I Love You|Bewitched|Bonnie and Clyde|Moon Palace|Fuzzy Wuzzy|Time to Quit|23 Minutes in Brussels|^encore 1|Tugboat|Indian Summer|^encore 2|Tiger Lily,,,https://media.fullofwishes.co.uk/02-luna/show_assets/2015-08-01/2015-08-01-luna-brudenell-leeds-poster.jpg,,,,Support from Flowers and Hookworms,|chinatown|malibulovenest|sideshowbytheseashore|stillathome|friendlyadvice|speedbumps|tracyiloveyou|bewitched|bonnieandclyde|moonpalace|fuzzywuzzy|timetoquit|23minutesinbrussels|encore1|tugboat|indiansummer|encore2|tigerlily|,Y
luna,luna,Luna,2016,2016-10-06,,2016-07-11,,,O2 Academy,Oxford,,UK,o2-academy-oxford-uk,,,Dean Wareham - guitar/vocals|Sean Eden - guitar|Lee Wall - drums|Britta Phillips - bass,^Penthouse|Chinatown|Sideshow By The Seashore|Moon Palace|Double Feature|23 Minutes In Brussels|Lost In Space|Rhythm King|Kalamazoo|Hedgehog|Freakin' and Peakin'|Bonnie and Clyde|^encore|Pup Tent|Tracy I Love You|Indian Summer,,,https://media.fullofwishes.co.uk/02-luna/show_assets/2016-10-06/2016-10-06-luna-o2-academy-oxford-poster.jpg,http://www.ticketweb.co.uk/event/DEH0610Y?brand=o2academyoxford&camefrom=AMG_OXFORD_luna,https://www.academymusicgroup.com/o2academyoxford/events/856618/luna-tickets,,Playing Penthouse in full,|penthouse|chinatown|sideshowbytheseashore|moonpalace|doublefeature|23minutesinbrussels|lostinspace|rhythmking|kalamazoo|hedgehog|freakinandpeakin|bonnieandclyde|encore|puptent|tracyiloveyou|indiansummer|,Y
luna,luna,Luna,2016,2016-10-07,,2016-03-29,,,Academy Islington,London,,UK,academy-islington-london-uk,,,Dean Wareham - guitar/vocals|Sean Eden - guitar|Lee Wall - drums|Britta Phillips - bass,^Penthouse|Chinatown|Sideshow By The Seashore|Moon Palace|Double Feature|23 Minutes In Brussels|Lost In Space|Rhythm King|Kalamazoo|Hedgehog|Freakin' and Peakin'|Bonnie and Clyde|^encore|Malibu Love Nest|Bewitched|Friendly Advice|^encore 2|Bobby Peru|Indian Summer,,,https://media.fullofwishes.co.uk/02-luna/show_assets/2016-10-07/2016-10-07-luna-o2-academy-london-poster.jpg,http://tickets.o2priority.co.uk/listings/luna/38488,https://academymusicgroup.com/o2academyislington/events/823430/luna-playing-penthouse-full-tickets,,Luna will be playing Penthouse,|penthouse|chinatown|sideshowbytheseashore|moonpalace|doublefeature|23minutesinbrussels|lostinspace|rhythmking|kalamazoo|hedgehog|freakinandpeakin|bonnieandclyde|encore|malibulovenest|bewitched|friendlyadvice|encore2|bobbyperu|indiansummer|,Y
luna,luna,Luna,2016,2016-10-08,,2016-02-19,,Rockaway Beach Festival,Butlins,Bognor Regis,,UK,rockaway-beach-festival-butlins-bognor-regis-uk,,,Dean Wareham - guitar/vocals|Sean Eden - guitar|Lee Wall - drums|Britta Phillips - bass,Chinatown|Malibu Love Nest|Speedbumps|23 Minutes In Brussels|Lovedust|Sideshow By The Seashore|Tracy I Love You|One Fine Summer Morning [Britta Phillips]|Lost In Space|Still At Home|Anesthesia|Blue Thunder|Friendly Advice,,,,http://www.bigweekends.com/the-weekends/specialist-music-weekends/rockaway-beach.aspx,http://www.rockawaybeach.co.uk/,,,|chinatown|malibulovenest|speedbumps|23minutesinbrussels|lovedust|sideshowbytheseashore|tracyiloveyou|onefinesummermorningbrittaphillips|lostinspace|stillathome|anesthesia|bluethunder|friendlyadvice|,Y
luna,luna,Luna,2016,2016-10-12,,2016-07-12,,,Petit Bain,Paris,,France,petit-bain-paris-france,,,Dean Wareham - guitar/vocals|Sean Eden - guitar|Lee Wall - drums|Britta Phillips - bass,,,,,https://www.weezevent.com/luna-matt-elliott,http://www.petitbain.org/LUNA-MATT-ELLIOTT?date=2016-10-12,,Luna play Penthouse in full,,Y
luna,luna,Luna,2018,2018-09-06,,2018-05-11,,,Academy Islington,London,,UK,academy-islington-london-uk,,,Dean Wareham - guitar/vocals|Sean Eden - guitar|Britta Phillips - bass|Lee Wall - drums,GTX3|Chinatown|Fire in Cairo|Math Wiz|Sweetness|Malibu Love Nest|Still at Home|23 Minutes in Brussels|Lovedust|Tracy I Love You|Car Wash Hair|Moon Palace|Indian Summer|^encore|Flowers|Strange|Friendly Advice,,,https://media.fullofwishes.co.uk/02-luna/show_assets/2018-09-06/2018-09-06-luna-academy-london-poster.jpg,http://www.ticketmaster.co.uk/event/1F0054A3DD46699F,,,,|gtx3|chinatown|fireincairo|mathwiz|sweetness|malibulovenest|stillathome|23minutesinbrussels|lovedust|tracyiloveyou|carwashhair|moonpalace|indiansummer|encore|flowers|strange|friendlyadvice|,Y
luna,luna,Luna,2018,2018-09-10,,2018-06-19,,,Atlas,Aarhus,,Denmark,atlas-aarhus-denmark,,,Dean Wareham - guitar/vocals|Sean Eden - guitar|Britta Phillips - bass|Lee Wall - drums,GTX3|Chinatown|Fire in Cairo|Math Wiz|Anesthesia|Beggar's Bliss|Malibu Love Nest|Sideshow by the Seashore|23 Minutes in Brussels|Lost In Space|Black Postcards|Moon Palace|Friendly Advice|^encore|Flowers|Bonnie and Clyde|Indian Summer,,,,https://fondenvoxhall.dk/koncerter/luna/,https://fondenvoxhall.dk/koncerter/luna/,,,|gtx3|chinatown|fireincairo|mathwiz|anesthesia|beggarsbliss|malibulovenest|sideshowbytheseashore|23minutesinbrussels|lostinspace|blackpostcards|moonpalace|friendlyadvice|encore|flowers|bonnieandclyde|indiansummer|,Y
luna,luna,Luna,2018,2018-09-11,,2018-05-18,,,Loppen,Copenhagen,,Denmark,loppen-copenhagen-denmark,,,Dean Wareham - guitar/vocals|Sean Eden - guitar|Britta Phillips - bass|Lee Wall - drums,GTX3|Sideshow by the Seashore|Fire in Cairo|Math Wiz|Speedbumps|Still at Home|Chinatown|Malibu Love Nest|I Want Everything|23 Minutes in Brussels|Bewitched|One Fine Summer Morning|Friendly Advice|^encore|Blue Thunder|Moon Palace|Car Wash Hair,,,,https://tikkio.com/tickets/5583-luna-pa-loppen,http://loppen.dk/kalender/luna,,,|gtx3|sideshowbytheseashore|fireincairo|mathwiz|speedbumps|stillathome|chinatown|malibulovenest|iwanteverything|23minutesinbrussels|bewitched|onefinesummermorning|friendlyadvice|encore|bluethunder|moonpalace|carwashhair|,Y
luna,luna,Luna,2018,2018-09-12,,2018-06-21,,,Debaser,Stockholm,,Sweden,debaser-stockholm-sweden,,,Dean Wareham - guitar/vocals|Sean Eden - guitar|Britta Phillips - bass|Lee Wall - drums,GTX3|Slide|Chinatown|Fire in Cairo|Math Wiz|23 Minutes in Brussels|Lost in Space|Malibu Love Nest|Tracy I Love You|Still at Home|Car Wash Hair|One Fine Summer Morning|Friendly Advice|^encore|Strange|California Blue|Fuzzy Wuzzy,,,,,,,,|gtx3|slide|chinatown|fireincairo|mathwiz|23minutesinbrussels|lostinspace|malibulovenest|tracyiloveyou|stillathome|carwashhair|onefinesummermorning|friendlyadvice|encore|strange|californiablue|fuzzywuzzy|,Y
galaxie-500,galaxie-500,Galaxie 500,,1990-06-27,,,,,Subterania,London,,UK,subterania-london-uk,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Fourth of July|Spook|Flowers|Melt Away|Summertime|Snowstorm|When Will You Come Home|Ceremony|Don't Let Our Youth Go to Waste,,,,,,Stream video|https://www.youtube.com/watch?v=ozeRVpP4T0Q,,|fourthofjuly|spook|flowers|meltaway|summertime|snowstorm|whenwillyoucomehome|ceremony|dontletouryouthgotowaste|,Y
galaxie-500,galaxie-500,Galaxie 500,,1990-11-15,,,,,ULU,London,,UK,ulu-london-uk,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,"Decomposing Trees|Fourth of July|Hearing Voices|Summertime|Don't Let Our Youth Go to Waste|Spook|When Will You Come Home|Sorry|Melt Away|Listen, the Snow Is Falling|Blue Thunder|Here She Comes Now|Ceremony",,,,,,,,|decomposingtrees|fourthofjuly|hearingvoices|summertime|dontletouryouthgotowaste|spook|whenwillyoucomehome|sorry|meltaway|listenthesnowisfalling|bluethunder|hereshecomesnow|ceremony|,Y
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-06-19,,1994-01-01,,,Metro Club,London,,UK,metro-club-london-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Hear The Wind Blow|Words You Used To Say|You Turned My Head Around|White Horses|Ginger Snaps|Night Nurse|Knives From Bavaria|Tugboat|Strange|Bonnie and Clyde|Ceremony,,,,,,,with Asobi Seksu,|singersing|hearthewindblow|wordsyouusedtosay|youturnedmyheadaround|whitehorses|gingersnaps|nightnurse|knivesfrombavaria|tugboat|strange|bonnieandclyde|ceremony|,Y
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-06-20,,1994-01-01,,,Legion,London,,UK,legion-london-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Indian Summer|Our Love Will Still Be There|Words You Used To Say|White Horses|Hear The Wind Blow|Knives From Bavaria|Since I Lay My Burden Down|Night Nurse|Ginger Snaps|Tugboat|Bewitched|You Turned My Head Around|Bonnie and Clyde,,,,,,,with The Clientele and Flowers Of Hell,|singersing|indiansummer|ourlovewillstillbethere|wordsyouusedtosay|whitehorses|hearthewindblow|knivesfrombavaria|sinceilaymyburdendown|nightnurse|gingersnaps|tugboat|bewitched|youturnedmyheadaround|bonnieandclyde|,Y
dean-and-britta,dean-and-britta,Dean & Britta,2009,2009-07-08,,1994-01-01,13 Most Beautiful,,Carnegie Hall,Dunfermline,,UK,carnegie-hall-dunfermline-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria|,,,https://media.fullofwishes.co.uk/07-dean_and_britta/pictures/13most_300-new.jpg,,,,13 Most Beautiful…Songs for Andy Warhol's Screen Tests,|richardrheemtheme|annbuchanantheme|teenagelightning|itdontraininbeverlyhills|silverfactorytheme|internationalvelvettheme|herringbonetweed|ifounditnotso|illkeepitwithmine|incandescentinnocent|eyesinmysmoke|notayoungmananymore|knivesfrombavaria||,Y
dean-and-britta,dean-and-britta,Dean & Britta,2010,2010-07-30,,1994-01-01,13 Most Beautiful,,The Barbican,London,,UK,the-barbican-london-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria|,,,https://media.fullofwishes.co.uk/07-dean_and_britta/pictures/13most_300-new.jpg,,,,13 Most Beautiful… Songs for Andy Warhol's Screen Tests,|richardrheemtheme|annbuchanantheme|teenagelightning|itdontraininbeverlyhills|silverfactorytheme|internationalvelvettheme|herringbonetweed|ifounditnotso|illkeepitwithmine|incandescentinnocent|eyesinmysmoke|notayoungmananymore|knivesfrombavaria||,Y
dean-and-britta,dean-and-britta,Dean & Britta,2010,2010-12-08,,1994-01-01,Dean Wareham plays Galaxie 500,,The Garage,London,,UK,the-garage-london-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,Dean Wareham plays Galaxie 500,,Y
dean-and-britta,dean-and-britta,Dean & Britta,2011,2011-02-16,,1994-01-01,Dean Wareham plays Galaxie 500,,Komedia,Brighton,,UK,komedia-brighton-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals|Jason Lawrence - drums,,,,,,,,Dean Wareham plays Galaxie 500,,Y
dean-and-britta,dean-and-britta,Dean & Britta,2011,2011-04-24,,1994-01-01,Dean Wareham plays Galaxie 500,,XOYO,London,,UK,xoyo-london-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,Dean Wareham plays Galaxie 500,,Y
dean-and-britta,dean-and-britta,Dean & Britta,2011,2011-07-24,,1994-01-01,Dean Wareham plays Galaxie 500,,Truck Festival,Didcot,,UK,truck-festival-didcot-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,Three day festival Dean Wareham plays Galaxie 500 on the Sunday,,Y
dean-and-britta,dean-wareham,Dean Wareham,2013,2013-12-05,,1994-01-01,,,St. Pancras Old Church,London,,UK,st-pancras-old-church-london-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Love Is Colder Than Death|The Longest Bridges in The World|When Will You Come Home|The Deadliest Day Since The Invasion Began|Emancipated Hearts|Tell Me|Strange|Air|Lost In Space|Blue Thunder|Moon Palace|Ride Into the Sun|Tugboat|Don't Let Our Youth Go to Waste|Ceremony,,,,,,,,|loveiscolderthandeath|thelongestbridgesintheworld|whenwillyoucomehome|thedeadliestdaysincetheinvasionbegan|emancipatedhearts|tellme|strange|air|lostinspace|bluethunder|moonpalace|rideintothesun|tugboat|dontletouryouthgotowaste|ceremony|,Y
dean-and-britta,dean-wareham,Dean Wareham,2013,2013-12-06,,1994-01-01,,,St. Pancras Old Church,London,,UK,st-pancras-old-church-london-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Love Is Colder Than Death|The Longest Bridges in The World|When Will You Come Home|The Deadliest Day Since The Invasion Began|Emancipated Hearts|Temperature's Rising|Air|Strange|Moon Palace|Lost In Space|Blue Thunder|Tugboat|Ride Into the Sun|Don't Let Our Youth Go to Waste,,,,,,,,|loveiscolderthandeath|thelongestbridgesintheworld|whenwillyoucomehome|thedeadliestdaysincetheinvasionbegan|emancipatedhearts|temperaturesrising|air|strange|moonpalace|lostinspace|bluethunder|tugboat|rideintothesun|dontletouryouthgotowaste|,Y
dean-and-britta,dean-wareham,Dean Wareham,2014,2014-05-21,,1994-01-01,,,The Prince Albert,Brighton,,UK,the-prince-albert-brighton-uk,,,"Dean Wareham - guitar and vocals|Britta Phillips - bass, keyboards and backing vocals|Raymond Richards - guitar, keyboards, bass and backing vocals|Roger Brogan - drums",Flowers|Emancipated Hearts|Heartless People|Pictures|The Dancer Disappears|Holding Pattern|When Will You Come Home|Love is Not a Roof Against the Rain|Lost in Space|Babes in the Wood|Blue Thunder|Tugboat|Happy and Free|Strange|Fourth of July,,,,,,,,|flowers|emancipatedhearts|heartlesspeople|pictures|thedancerdisappears|holdingpattern|whenwillyoucomehome|loveisnotaroofagainsttherain|lostinspace|babesinthewood|bluethunder|tugboat|happyandfree|strange|fourthofjuly|,Y
