section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,_venue-slug,show-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,_i-was-there,_calendar-subject,,_recording
dean-wareham,dean-wareham,Dean Wareham,2013,2013-11-29,,1994-01-01,,,The Bell House,Brooklyn,NY,USA,the-bell-house-brooklyn-ny-usa,dean-wareham-2013-11-29-the-bell-house-brooklyn-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2013: Dean Wareham - The Bell House, Brooklyn, NY, USA",,
dean-wareham,dean-wareham,Dean Wareham,2013,2013-12-04,,1994-01-01,,,Ruby Lounge,Manchester,,UK,ruby-lounge-manchester-uk,dean-wareham-2013-12-04-ruby-lounge-manchester-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2013: Dean Wareham - Ruby Lounge, Manchester, UK",,
dean-wareham,dean-wareham,Dean Wareham,2013,2013-12-05,,1994-01-01,,,St. Pancras Old Church,London,,UK,st-pancras-old-church-london-uk,dean-wareham-2013-12-05-st-pancras-old-church-london-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Love Is Colder Than Death|The Longest Bridges in The World|When Will You Come Home|The Deadliest Day Since The Invasion Began|Emancipated Hearts|Tell Me|Strange|Air|Lost In Space|Blue Thunder|Moon Palace|Ride Into the Sun|Tugboat|Don't Let Our Youth Go to Waste|Ceremony,,,,,,,,|loveiscolderthandeath|thelongestbridgesintheworld|whenwillyoucomehome|thedeadliestdaysincetheinvasionbegan|emancipatedhearts|tellme|strange|air|lostinspace|bluethunder|moonpalace|rideintothesun|tugboat|dontletouryouthgotowaste|ceremony|,Y,"2013: Dean Wareham - St. Pancras Old Church, London, UK",,2013-12-05
dean-wareham,dean-wareham,Dean Wareham,2013,2013-12-06,,1994-01-01,,,St. Pancras Old Church,London,,UK,st-pancras-old-church-london-uk,dean-wareham-2013-12-06-st-pancras-old-church-london-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Love Is Colder Than Death|The Longest Bridges in The World|When Will You Come Home|The Deadliest Day Since The Invasion Began|Emancipated Hearts|Temperature's Rising|Air|Strange|Moon Palace|Lost In Space|Blue Thunder|Tugboat|Ride Into the Sun|Don't Let Our Youth Go to Waste,,,,,,,,|loveiscolderthandeath|thelongestbridgesintheworld|whenwillyoucomehome|thedeadliestdaysincetheinvasionbegan|emancipatedhearts|temperaturesrising|air|strange|moonpalace|lostinspace|bluethunder|tugboat|rideintothesun|dontletouryouthgotowaste|,Y,"2013: Dean Wareham - St. Pancras Old Church, London, UK",,
dean-wareham,dean-wareham,Dean Wareham,2013,2013-12-07,,1994-01-01,,,Point Ephemere,Paris,,France,point-ephemere-paris-france,dean-wareham-2013-12-07-point-ephemere-paris-france,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Love Is Colder Than Death|The Longest Bridges in The World|When Will You Come Home|The Deadliest Day Since The Invasion Began|Emancipated Hearts|Temperature's Rising|Strange|Air|Moon Palace|Lost In Space|Blue Thunder|Tugboat|Ride Into the Sun|Ceremony,,,,,,,,|loveiscolderthandeath|thelongestbridgesintheworld|whenwillyoucomehome|thedeadliestdaysincetheinvasionbegan|emancipatedhearts|temperaturesrising|strange|air|moonpalace|lostinspace|bluethunder|tugboat|rideintothesun|ceremony|,,"2013: Dean Wareham - Point Ephemere, Paris, France",,
dean-wareham,dean-wareham,Dean Wareham,2013,2013-12-31,,1994-01-01,,,First Night,Boston,MA,USA,first-night-boston-ma-usa,dean-wareham-2013-12-31-first-night-boston-ma-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,[First Night      http://www.firstnightboston.org/page.php?title=highlights],,,"2013: Dean Wareham - First Night, Boston, MA, USA",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-03-19,,1994-01-01,,,Harvard and Stone,Los Angeles,CA,USA,harvard-and-stone-los-angeles-ca-usa,dean-wareham-2014-03-19-harvard-and-stone-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - Harvard and Stone, Los Angeles, CA, USA",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-03-28,,1994-01-01,,,Big Ears Festival,Knoxville,TN,USA,big-ears-festival-knoxville-tn-usa,dean-wareham-2014-03-28-big-ears-festival-knoxville-tn-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,"Three day festival, actual date of performance to be confirmed",,,"2014: Dean Wareham - Big Ears Festival, Knoxville, TN, USA",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-01,,1994-01-01,,,The Earl,Atlanta,GA,USA,the-earl-atlanta-ga-usa,dean-wareham-2014-04-01-the-earl-atlanta-ga-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - The Earl, Atlanta, GA, USA",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-03,,1994-01-01,,,Cats Cradle Back Room,Carrboro,NC,USA,cats-cradle-back-room-carrboro-nc-usa,dean-wareham-2014-04-03-cats-cradle-back-room-carrboro-nc-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - Cats Cradle Back Room, Carrboro, NC, USA",,
