slug,artistname,year,date,disambiguate,date-added,series,venue,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index
luna,Luna,1993,1993-03-19,,2023-08-26,,"the Warfield, San Francisco, CA , USA",the-warfield-san-francisco-ca--usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham,
luna,Luna,1993,1993-03-20,,2023-08-26,,"The Palace Theatre, Los Angeles, CA, USA",the-palace-theatre-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham,
luna,Luna,1993,1993-03-21,,2023-08-26,,"The Palace Theatre, Los Angeles, CA, USA",the-palace-theatre-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham,
luna,Luna,1993,1993-03-22,,2023-08-26,,"The Belly Up Tavern, Solana Beach, CA, USA",the-belly-up-tavern-solana-beach-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham,
luna,Luna,1993,1993-06-01,,1994-01-01,,"Playhouse, Edinburgh, UK",playhouse-edinburgh-uk,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Supporting The Velvet Underground,
luna,Luna,1993,1993-06-02,,1994-01-01,,"Playhouse, Edinburgh, UK",playhouse-edinburgh-uk,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Supporting The Velvet Underground,
luna,Luna,1993,1993-06-03,,1994-01-01,,"Borderline, London, UK",borderline-london-uk,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Crazy People|Anesthesia|Ride Into the Sun|Friendly Advice|We're Both Confused|Going Home|Blue Thunder|Hey Sister|I Know You Tried|Smile|I Can't Wait|Time to Quit|Indian Summer|Slide|That's What You Always Say|When Will You Come Home,,,,,,Stream|https://www.fullofwishes.co.uk/2009/09/02/mp3-luna-live-in-london-in-1993/|A Head Full of Wishes,,|crazypeople|anesthesia|rideintothesun|friendlyadvice|werebothconfused|goinghome|bluethunder|heysister|iknowyoutried|smile|icantwait|timetoquit|indiansummer|slide|thatswhatyoualwayssay|whenwillyoucomehome|
luna,Luna,1993,1993-06-05,,1994-01-01,,"Forum, London, UK",forum-london-uk,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Supporting The Velvet Underground,
luna,Luna,1993,1993-06-06,,1994-01-01,,"Wembley Arena, London, UK",wembley-arena-london-uk,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Supporting The Velvet Underground,
luna,Luna,1993,1993-06-08,,1994-01-01,,"Paradiso, Amsterdam, Netherlands",paradiso-amsterdam-netherlands,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Supporting The Velvet Underground,
