slug,artistname,year,date,disambiguate,date-added,series,venue,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index
luna,Luna,1993,1993-06-09,,1994-01-01,,"Ahoy Sportpaleis, Rotterdam, Netherlands",ahoy-sportpaleis-rotterdam-netherlands,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Supporting The Velvet Underground,
luna,Luna,1993,1993-06-11,,1994-01-01,,"Alsterdorfer Sporthalle, Hamburg, Germany",alsterdorfer-sporthalle-hamburg-germany,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Supporting The Velvet Underground,
luna,Luna,1993,1993-06-13,,1994-01-01,,"Palac Kultury, Prague, Czech Republic",palac-kultury-prague-czech-republic,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Slide|Crazy People|Friendly Advice|Blue Thunder|Hey Sister|I Can't Wait|That's What You Always Say|Time to Quit|Indian Summer,,,,,,,Supporting The Velvet Underground,|slide|crazypeople|friendlyadvice|bluethunder|heysister|icantwait|thatswhatyoualwayssay|timetoquit|indiansummer|
luna,Luna,1993,1993-06-20,,1994-01-01,,"Die Halle Weissensee, Berlin, Germany",die-halle-weissensee-berlin-germany,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Supporting The Velvet Underground,
luna,Luna,1993,1993-11-13,,1994-01-01,,"The Middle East, Cambridge, MA, USA",the-middle-east-cambridge-ma-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,,
luna,Luna,1994,1994-02-14,,1994-01-01,,"Modern Rock Live, New York NY, USA",modern-rock-live-new-york-ny-usa,Radio session,,Dean Wareham - guitar/vocals|Sterling Morrison - guitar,,,,,,,,,
luna,Luna,1994,1994-02-18,,1994-01-01,,"Kennel Club, San Francisco CA, USA",kennel-club-san-francisco-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Anesthesia|Going Home|Friendly Advice|Slide|Tiger Lily|This Time Around|We're Both Confused|Flowers|Slash Your Tires|Into The Fold|Time to Quit|Hold on (John)|Indian Summer|Thank You for Sending Me an Angel|Tugboat,,,,,,,,|anesthesia|goinghome|friendlyadvice|slide|tigerlily|thistimearound|werebothconfused|flowers|slashyourtires|intothefold|timetoquit|holdonjohn|indiansummer|thankyouforsendingmeanangel|tugboat|
luna,Luna,1994,1994-03-17,,1994-01-01,,"La Luna, Portland OR, USA",la-luna-portland-or-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,https://media.fullofwishes.co.uk/02-luna/show_assets/1994-03-17/1994-03-17-luna-la-luna-portland-or-usa-poster.jpg,,,,,
luna,Luna,1994,1994-03-30,,1994-01-01,,"Civic Auditorium, Portland OR, USA",civic-auditorium-portland-or-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Sleeping Pill|Slide|California (All The Way)|Friendly Advice|Tiger Lily|This Time Around|Slash Your Tires|Bewitched|Time to Quit,,,,,,,,|sleepingpill|slide|californiaalltheway|friendlyadvice|tigerlily|thistimearound|slashyourtires|bewitched|timetoquit|
luna,Luna,1994,1994-04-03,,1994-01-01,,"Universal Amphitheatre, Los Angeles CA, USA",universal-amphitheatre-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,California (All The Way)|Slide|Friendly Advice|Anesthesia|Tiger Lily|This Time Around|Bewitched|Time to Quit|Indian Summer,,,,,,,,|californiaalltheway|slide|friendlyadvice|anesthesia|tigerlily|thistimearound|bewitched|timetoquit|indiansummer|
luna,Luna,1994,1994-04-04,,1994-01-01,,"KCRW, Santa Monica CA, USA",kcrw-santa-monica-ca-usa,Radio session,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Tiger Lily|Going Home|Bewitched|Hold on (John)|Friendly Advice,,,,,,,,|tigerlily|goinghome|bewitched|holdonjohn|friendlyadvice|
luna,Luna,1994,1994-04-04,,1994-01-01,,"KXLU-FM, Los Angeles CA, USA",kxlu-fm-los-angeles-ca-usa,Radio session,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Bewitched|Hold on (John)|Into The Fold|Hey Sister,recording,,,,,,(possibly 1994-04-03),|bewitched|holdonjohn|intothefold|heysister|
luna,Luna,1994,1994-04-20,,1994-01-01,,"Cats Cradle, Carrboro NC, USA",cats-cradle-carrboro-nc-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,California (All The Way)|Slide|Going Home|Slash Your Tires|Tiger Lily|This Time Around|Anesthesia|Friendly Advice|Hey Sister|We're Both Confused|I Can't Wait|Bewitched|That's What You Always Say|Hold on (John)|Time to Quit,,,,,,,Setlist source: recording,|californiaalltheway|slide|goinghome|slashyourtires|tigerlily|thistimearound|anesthesia|friendlyadvice|heysister|werebothconfused|icantwait|bewitched|thatswhatyoualwayssay|holdonjohn|timetoquit|
luna,Luna,1994,1994-04-24,,1994-01-01,,"Stone Lounge, Tampa, FL, USA",stone-lounge-tampa-fl-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,,
luna,Luna,1994,1994-04-25,,1994-01-01,,"Downtown Jazz and Blues Club, Orlando, FL, USA",downtown-jazz-and-blues-club-orlando-fl-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,https://media.fullofwishes.co.uk/02-luna/show_assets/1994-04-25/1994-04-25_luna_low_orlando.jpg,,,,,
