Setlists,all songs,Unique songs,Count,Song,Plays
Decomposing Trees|Snowstorm|Flowers|Temperature's Rising|Don't Let Our Youth Go to Waste|Blue Thunder|Ceremony|Here She Comes Now|,,,0,,
Decomposing Trees|Here She Comes Now|Flowers|When Will You Come Home|Temperature's Rising|Plastic Bird|Blue Thunder|Ceremony|Snowstorm|Don't Let Our Youth Go to Waste|,,,0,,
Blue Thunder|Decomposing Trees|Flowers|Temperature's Rising|Summertime|When Will You Come Home|Don't Let Our Youth Go to Waste|Snowstorm|Here She Comes Now|Ceremony|,,,0,,
Decomposing Trees|Snowstorm|Flowers|Temperature's Rising|Don't Let Our Youth Go to Waste|Blue Thunder|When Will You Come Home|Ceremony|Here She Comes Now|Plastic Bird|,,,0,,
Decomposing Trees|Snowstorm|Flowers|Summertime|Temperature's Rising|Blue Thunder|When Will You Come Home|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
Here She Comes Now [Velvet Underground cover]|Spook|Summertime|Hearing Voices|Final Day|Way Up High|Victory Garden|[^Billy Ruane (Impresario) hands out cookies]|Tugboat|Tell Me|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
Fourth of July|Spook|Decomposing Trees|Flowers|Melt Away|Summertime|Snowstorm|When Will You Come Home|Ceremony|Don't Let Our Youth Go to Waste|Victory Garden|,,,0,,
Fourth of July|Spook|Flowers|Melt Away|Summertime|Snowstorm|When Will You Come Home|Ceremony|Don't Let Our Youth Go to Waste|,,,0,,
Fourth of July|Decomposing Trees|Flowers|Melt Away|Summertime|Snowstorm|When Will You Come Home|Ceremony|Don't Let Our Youth Go to Waste|,,,0,,
|,,,0,,
|,,,0,,
"Fourth of July|Hearing Voices|Decomposing Trees|Spook|When Will You Come Home|Summertime|Sorry|Melt Away|Listen, The Snow Is Falling|^encore|Don't let Our Youth Go To Waste [with Peter Buck of REM on guitar]|",,,0,,
|,,,0,,
|,,,0,,
"Fourth of July|Summertime|Decomposing Trees|When Will You Come Home|Spook|Hearing Voices|Don't Let Our Youth Go to Waste|Melt Away|Listen, the Snow Is Falling|Ceremony|Here She Comes Now|Snowstorm|",,,0,,
|,,,0,,
|,,,0,,
"Fourth of July|Summertime|Decomposing Trees|When Will You Come Home|Hearing Voices|Don't Let Our Youth Go to Waste|Spook|Listen, the Snow Is Falling|Melt Away|Snowstorm|Here She Comes Now|",,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
"Fourth of July|Summertime|Hearing Voices|Decomposing Trees|When Will You Come Home|Spook|Listen, the Snow Is Falling|Blue Thunder|Melt Away|Ceremony|Don't Let Our Youth Go to Waste|",,,0,,
Moonshot|Submission|When Will You Come Home|Final Day|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
"Decomposing Trees|Fourth of July|Hearing Voices|Summertime|Don't Let Our Youth Go to Waste|Spook|When Will You Come Home|Sorry|Melt Away|Listen, the Snow Is Falling|Blue Thunder|Here She Comes Now|Ceremony|",,,0,,
|,,,0,,
"Blue Thunder|Fourth of July|Hearing Voices|Decomposing Trees|Summertime|Don't Let Our Youth Go to Waste|Spook|When Will You Come Home|Sorry|Melt Away|Listen, the Snow Is Falling|",,,0,,
"Decomposing Trees|Fourth of July|When Will You Come Home|Don't Let Our Youth Go to Waste|Listen, the Snow Is Falling|",,,0,,
"Decomposing Trees|Fourth of July|Hearing Voices|Blue Thunder|Summertime|Sorry|When Will You Come Home|Spook|Listen, the Snow Is Falling|Melt Away|Here She Comes Now|Ceremony|",,,0,,
|,,,0,,
|,,,0,,
"Decomposing Trees|Fourth of July|Blue Thunder|Hearing Voices|Summertime|Sorry|When Will You Come Home|Spook|Listen, the Snow Is Falling|Melt Away|Snowstorm|Ceremony|Here She Comes Now|",,,0,,
"Decomposing Trees|Fourth of July|Summertime|Sorry|When Will You Come Home|Spook|Listen, the Snow Is Falling|Here She Comes Now|Don't Let Our Youth Go to Waste|",,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
"When Will You Come Home|Flowers|Summertime|Sorry|Melt Away|Listen, the Snow Is Falling|",,,0,,
"Decomposing Trees|When Will You Come Home|Summertime|Spook|Ceremony|Melt Away|Listen, the Snow Is Falling|",,,0,,
|,,,0,,
|,,,0,,
"When Will You Come Home|Decomposing Trees|Sorry|Fourth of July|Flowers|Melt Away|Listen, The Snow is Falling|",,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
