Setlists,all songs,Unique songs,Count,Song,Total
Superfreaky Memories|Rhythm King|Slash Your Tires|Cindy Tastes of Barbecue|Lovedust|Speedbumps|Black Postcards|1995|Bobby Peru|Four Thousand Days|Moon Palace|Bonnie and Clyde|Bewitched|Freakin' and Peakin'|Sweet Child o' Mine|Fourth of July|23 Minutes in Brussels|,^ENCORE,,0,,
Egg Nog|California (All The Way)|Weird And Woozy|Broken Chair|Tiger Lily|Malibu Love Nest|Into The Fold|This Time Around|Pup Tent|Anesthesia|23 Minutes in Brussels|The Slow Song|Moon Palace|Superfreaky Memories|Tugboat|Bonnie and Clyde|Tracy I Love You|,^ENCORE,,0,,
Chinatown|Sideshow By The Seashore|Astronaut|California (All The Way)|Malibu Love Nest|Tiger Lily|Broken Chair|Friendly Advice|Bewitched|Tracy I Love You|Pup Tent|Time to Quit|Going Home|Moon Palace|Black Postcards|Everybody's Talkin'|Fuzzy Wuzzy|Indian Summer|23 Minutes in Brussels|,^ENCORE,,0,,
Slide|Chinatown|Sideshow by the Seashore|Malibu Love Nest|Going Home|Weird and Woozy|California (All The Way)|Friendly Advice|Lost in Space|Tracy I Love You|Pup Tent|Slash Your Tires|Bewitched|Moon Palace|23 Minutes in Brussels|^encore|Tiger Lily|Indian Summer|,^ENCORE,,0,,
Slide|Chinatown|Speedbumps|Sideshow by the Seashore|Malibu Love Nest|Friendly Advice|Tiger Lily|Tracy I Love You|Pup Tent|Bewitched|23 Minutes in Brussels|Moon Palace|Indian Summer|,^ENCORE,,0,,
Slide|Chinatown|Sideshow by the Seashore|Cindy Tastes of Barbecue|Bobby Peru|Tracy I Love You|Tiger Lily|Friendly Advice|California (All The Way)|Bewitched|Moon Palace|Time to Quit|23 Minutes in Brussels|^encore|Ride Into the Sun|Indian Summer|^encore|Slash Your Tires|,^ENCORE,,0,,
Chinatown|Sideshow by the Seashore|Anesthesia|Malibu Love Nest|Pup Tent|Tracy I Love You|Bewitched|Friendly Advice|Tiger Lily|Moon Palace|Ride Into the Sun|23 Minutes in Brussels|^encore|Outdoor Miner|Indian Summer|,^ENCORE,,0,,
Chinatown|Sideshow by the Seashore|Malibu Love Nest|California (All The Way)|Cindy Tastes of Barbecue|Tracy I Love You|Pup Tent|Bobby Peru|Tiger Lily|Lost in Space|Bewitched|Moon Palace|Friendly Advice|^encore|Ride Into the Sun|23 Minutes in Brussels|Outdoor Miner|Time to Quit|,^ENCORE,,0,,
Slide|Malibu Love Nest|Chinatown|Sideshow by the Seashore|Lost in Space|Speedbumps|Going Home|This Time Around|Friendly Advice|Tracy I love You|Bewitched|Bonnie and Clyde|Indian Summer|^encore|Slash Your Tires|23 Minutes in Brussels|,^ENCORE,,0,,
Slide|Sideshow by the Seashore|Anesthesia|Speedbumps|California (All The Way)|Pup Tent|Tracy I Love You|Friendly Advice|Bewitched|Tiger Lily|Moon Palace|Fuzzy Wuzzy|Indian Summer|^encore|Sweet Child o' Mine|23 Minutes in Brussels|^encore 2|Bonnie and Clyde|Slash Your Tires|,^ENCORE,,0,,
Slide|Chinatown|Sideshow by the Seashore|Malibu Love Nest|This Time Around|Tracy I Love You|Cindy Tastes of Barbecue|Lost in Space|Going Home|Still at Home|Superfreaky Memories|Bewitched|Friendly Advice|23 Minutes in Brussels|^encore|Ride Into the Sun|Indian Summer|,^ENCORE,,0,,
Chinatown |Sideshow by the Seashore|Anesthesia|Malibu Love Nest|Pup Tent|Bobby Peru|Tracy I Love You|Bewitched|Friendly Advice|Tiger Lily|Moon Palace|Ride Into the Sun|23 Minutes in Brussels |^encore|Time to Quit|Indian Summer|,^ENCORE,,0,,
Slide|Malibu Love Nest|Chinatown|Sideshow by the Seashore|Lost in Space|Speedbumps|Still at Home|This Time Around|Friendly Advice|Tracy I Love You|Bewitched|Bonnie and Clyde|Indian Summer|^encore|Sweet Child o' Mine|23 Minutes in Brussels|^encore 2|Ride Into the Sun|,^ENCORE,,0,,
Chinatown|Sideshow by the Seashore|Malibu Love Nest|Anesthesia|Still at Home|Friendly Advice|Cindy Tastes of Barbecue|Pup Tent|Bobby Peru|Bewitched|Lost in Space|Tracy I Love You|Ride Into the Sun|23 Minutes in Brussels|Moon Palace|Bonnie and Clyde|,^ENCORE,,0,,
|,^ENCORE,,0,,
|,^ENCORE,,0,,
Chinatown|Speedbumps|Sideshow by the Seashore|Going Home|Malibu Love Nest|Friendly Advice|Tiger Lily|Tracy I Love You|Pup Tent|Bewitched|Moon Palace|Lost in Space|23 Minutes in Brussels|^encore|Ride Into the Sun|Indian Summer|,^ENCORE,,0,,
Malibu Love Nest|Friendly Advice|Tracy I Love You|Slash Your Tires|23 Minutes in Brussels|Indian Summer|,^ENCORE,,0,,
Slide|Malibu Love Nest|Chinatown|Sideshow by the Seashore|This Time Around|Pup Tent|Friendly Advice|Tracy I Love You|Bewitched|Moon Palace|Sweet Child o' Mine|23 Minutes in Brussels|,^ENCORE,,0,,
Slide|California (All The Way)|Malibu Love Nest|Chinatown|Sideshow by the Seashore|Speedbumps|Tiger Lily|Tracy I Love You|Bewitched|Friendly Advice|Pup Tent|Lost in Space|Moon Palace|23 Minutes in Brussels|Time to Quit|Indian Summer|,^ENCORE,,0,,
Slide|Chinatown|Sideshow by the Seashore|Malibu Love Nest|Going Home|Tiger Lily|Tracy I Love You|Bewitched|Lost in Space|California (All The Way)|Moon Palace|Friendly Advice|23 Minutes in Brussels|^encore|Blue Thunder|Indian Summer|,^ENCORE,,0,,
Slide|Chinatown|Sideshow by the Seashore|Malibu Love Nest|Tiger Lily|This Time Around|Friendly Advice|Tracy I Love You|Cindy Tastes of Barbecue|Lost in Space|Bobby Peru|Moon Palace|23 Minutes in Brussels|^encore|Anesthesia|Blue Thunder|Indian Summer|,^ENCORE,,0,,
Chinatown|Malibu Love Nest|Sideshow by the Seashore|Still at Home|Friendly Advice|Speedbumps|Tracy I Love You|Bewitched|Bonnie and Clyde|Moon Palace|Fuzzy Wuzzy|Time to Quit|23 Minutes in Brussels|^encore 1|Tugboat|Indian Summer|^encore 2|Tiger Lily|,^ENCORE,,0,,
Slide|Chinatown|Cindy Tastes of Barbecue|Sideshow by the Seashore|Tiger Lily|Pup Tent|Malibu Love Nest|Tracy I Love You|Bobby Peru|Friendly Advice|Lost in Space|23 Minutes in Brussels|^encore|Blue Thunder|Indian Summer|,^ENCORE,,0,,
California (All The Way)|Sideshow by the Seashore|Malibu Love Nest|The Owl and the Pussycat|Anesthesia|Still at Home|Pup Tent|Friendly Advice|Bewitched|Tracy I Love You|Chinatown|23 Minutes in Brussels|^encore 1|Indian Summer|Speedbumps|Slash Your Tires|Sweet Child o' Mine|,^ENCORE,,0,,
Slide|Chinatown|Sideshow by the Seashore|Malibu Love Nest|Tiger Lily|Tracy I Love You|Pup Tent|Bewitched|Friendly Advice|Blue Thunder|Tugboat|Strange|Moon Palace|23 Minutes in Brussels|^encore 1|Indian Summer|Ceremony|^encore 2|Sweet Child o' Mine|Anesthesia|,^ENCORE,,0,,
Slide|Chinatown|Malibu Love Nest|Sideshow by the Seashore|Tracy I Love You|Tiger Lily|Speedbumps|Bewitched|Moon Palace|Friendly Advice|Lost in Space|23 Minutes in Brussels|,^ENCORE,,0,,
Tracy I Love You|Moon Palace|,^ENCORE,,0,,
|,^ENCORE,,0,,
Bewitched|Tracy I Love You|Moon Palace|,^ENCORE,,0,,
Slide|Chinatown|Malibu Love Nest|Sideshow by the Seashore|Speedbumps|Double Feature|Cindy Tastes of Barbecue|Tracy I Love You|Bewitched|Moon Palace|Friendly Advice|California (All The Way)|23 Minutes in Brussels|^encore|Bobby Peru|Tugboat|Indian Summer|,^ENCORE,,0,,
California (All The Way)|Sideshow by the Seashore|Anesthesia|Malibu Love Nest|Tiger Lily|Tracy I Love You|Lost in Space|Cindy Tastes of Barbecue|Moon Palace|Slide|Friendly Advice|Chinatown|23 Minutes in Brussels|Bewitched|Indian Summer|,^ENCORE,,0,,
California (All The Way)|Sideshow by the Seashore|Malibu Love Nest|Anesthesia|Tracy I Love You|Pup Tent|Tiger Lily|Speedbumps|Lost in Space|Slide|Friendly Advice|Chinatown|23 Minutes in Brussels|^encore|Bewitched|Indian Summer|,^ENCORE,,0,,
^Penthouse|Chinatown|Sideshow by the Seashore|Moon Palace|Double Feature|23 Minutes in Brussels|Lost in Space|Rhythm King|Kalamazoo|Hedgehog|Freakin' and Peakin'|Bonnie and Clyde|^encore 1|Pup Tent|Malibu Love Nest|Tracy I Love You|Anesthesia|Friendly Advice|^encore 2|California (All The Way)|,^ENCORE,,0,,
Slide|Speedbumps|Sideshow by the Seashore|Malibu Love Nest|Chinatown|Tiger Lily|This Time Around|Tracy I Love You|Bewitched|Time to Quit|Friendly Advice|Lost in Space|23 Minutes in Brussels|^encore 1|Fuzzy Wuzzy|Indian Summer|^encore 2|Moon Palace|,^ENCORE,,0,,
Chinatown|Speedbumps|Sideshow by the Seashore|Malibu Love Nest|Going Home|Tiger Lily|Tracy I Love You|Pup Tent|Bewitched|Freakin' and Peakin'|Moon Palace|Slash Your Tires|Friendly Advice|^encore 1|California (All The Way)|23 Minutes in Brussels|^encore 2|Season of the Witch|Indian Summer|,^ENCORE,,0,,
Slide|Chinatown|Sideshow by the Seashore|Malibu Love Nest|Bobby Peru|Tiger Lily|Tracy I Love You|Lost in Space|Bewitched|Kalamazoo|Moon Palace|Friendly Advice|^encore 1|California (All The Way)|Time to Quit|23 Minutes in Brussels|^encore 2|Season of the Witch|,^ENCORE,,0,,
Chinatown|Going Home|Double Feature|Sideshow by the Seashore|California (All The Way)|Malibu Love Nest|Tracy I Love You|Moon Palace|Lost in Space|Bonnie and Clyde|Bewitched|Friendly Advice|^encore 1|Fuzzy Wuzzy|Anesthesia|23 Minutes in Brussels|^encore 2|Blue Thunder|,^ENCORE,,0,,
Slide|Speedbumps|This Time Around|Chinatown|Tracy I Love You|Malibu Love Nest|Sideshow by the Seashore|Kalamazoo|Tiger Lily|Friendly Advice|Bewitched|Freakin' and Peakin'|Slash Your Tires|23 Minutes in Brussels|^encore 1|Season of the Witch|Indian Summer|^encore 2|Moon Palace|,^ENCORE,,0,,
California (All The Way)|Pup Tent|Cindy Tastes of Barbecue|Sideshow by the Seashore|Still at Home|Malibu Love Nest|Tiger Lily|Tracy I Love You|Lost in Space|23 Minutes in Brussels|Chinatown|Friendly Advice|Bewitched|Bonnie and Clyde|Time to Quit|^encore 1|Season of the Witch|Indian Summer|^encore 2|Fuzzy Wuzzy|,^ENCORE,,0,,
Chinatown|Speedbumps|Going Home|Moon Palace|Malibu Love Nest|Double Feature|Still at Home|Tracy I Love You|Tiger Lily|Sideshow by the Seashore|Freakin' and Peakin'|Bewitched|Friendly Advice|^encore 1|This Time Around|23 Minutes in Brussels|^encore 2|Tugboat|Indian Summer|,^ENCORE,,0,,
Egg Nog|Chinatown|Cindy Tastes of Barbecue|Malibu Love Nest|Anesthesia|Sideshow by the Seashore|Tiger Lily|Lost in Space|Kalamazoo|Bewitched|Friendly Advice|^encore|Ride Into the Sun|23 Minutes in Brussels|,^ENCORE,,0,,
Slide|California (All The Way)|Speedbumps|Chinatown|Still at Home|Malibu Love Nest|Tiger Lily|Sideshow by the Seashore|Tracy I Love You|Lost in Space|Freakin' and Peakin'|Bewitched|Friendly Advice|^encore|Everybody's Talkin'|Moon Palace|23 Minutes in Brussels|,^ENCORE,,0,,
Egg Nog|Chinatown|Pup Tent|Going Home|Malibu Love Nest|Anesthesia|Cindy Tastes of Barbecue|Sideshow by the Seashore|Tiger Lily|Friendly Advice|Bewitched|Moon Palace|23 Minutes in Brussels|^encore|Ride Into the Sun|Bonnie and Clyde|,^ENCORE,,0,,
Chinatown|California (All The Way)|Speedbumps|Sideshow by the Seashore|Malibu Love Nest|Lost in Space|Tracy I Love You|Kalamazoo|Moon Palace|23 Minutes in Brussels|Tiger Lily|Bewitched|Friendly Advice|^encore 1|Time to Quit|Indian Summer|^encore 2|Fuzzy Wuzzy|,^ENCORE,,0,,
Slide|Pup Tent|Chinatown|Speedbumps|Sideshow by the Seashore|Malibu Love Nest|Still at Home|Tiger Lily|Tracy I Love You|Lost in Space|Freakin' and Peakin'|Bewitched|Friendly Advice|^encore 1|Ride Into the Sun|23 Minutes in Brussels|^encore 2|Season of the Witch|Indian Summer|,^ENCORE,,0,,
Chinatown|Going Home|Speedbumps|Sideshow by the Seashore|Malibu Love Nest|Still at Home|Tiger Lily|Tracy I Love You|Pup Tent|Bewitched|Freakin' and Peakin'|Moon Palace|Lost in Space|Friendly Advice|^encore 1|Slash Your Tires|23 Minutes in Brussels|^encore 2|Season of the Witch|Black Postcards|,^ENCORE,,0,,
^Penthouse|Chinatown|Sideshow by the Seashore|Moon Palace|Double Feature|23 Minutes in Brussels|Lost in Space|Rhythm King|Kalamazoo|Hedgehog|Freakin' and Peakin'|Bonnie and Clyde|^|Pup Tent|Tiger Lily|Malibu Love Nest|Indian Summer|,^ENCORE,,0,,
Slide|Chinatown|Speedbumps|Sideshow by the Seashore|Malibu Love Nest|Cindy Tastes of Barbecue|Tracy I Love You|Still at Home|Anesthesia|Tiger Lily|Bewitched|Friendly Advice|Lost in Space|23 Minutes in Brussels|^encore 1|Moon Palace|Indian Summer|^encore 2|Season of the Witch|,^ENCORE,,0,,
Fuzzy Wuzzy|Chinatown|Speedbumps|Malibu Love Nest|Pup Tent|Tracy I Love You|Still at Home|Freakin' and Peakin'|Tiger Lily|Bewitched|Friendly Advice|Lost in Space|23 Minutes in Brussels|^encore 1|Moon Palace|Indian Summer|^encore 2|California (All The Way)|,^ENCORE,,0,,
^Penthouse|Chinatown|Sideshow by the Seashore|Moon Palace|Double Feature|23 Minutes in Brussels|Lost in Space|Rhythm King|Kalamazoo|Hedgehog|Freakin' and Peakin'|Bonnie and Clyde|^|This Time Around|Black Postcards|Ride Into the Sun|Anesthesia|Friendly Advice|,^ENCORE,,0,,
Slide|Chinatown|Speedbumps|Sideshow by the Seashore|Malibu Love Nest|Still at Home|This Time Around|Tiger Lily|Lost in Space|Bewitched|Time to Quit|Friendly Advice|^encore|Ride Into the Sun|23 Minutes in Brussels|,^ENCORE,,0,,
Malibu Love Nest|Tracy I Love You|^interview|Rhythm King|Ride Into the Sun|,^ENCORE,,0,,
Slide|Going Home|Speedbumps|Chinatown|Sideshow by the Seashore|Malibu Love Nest|This Time Around|Tracy I Love You|Moon Palace|Anesthesia|Lost in Space|Friendly Advice|Bewitched|Fuzzy Wuzzy|^encore|California (All The Way)|23 Minutes in Brussels|^encore 2|Indian Summer|,^ENCORE,,0,,
Chinatown|This Time Around|Speedbumps|Pup Tent|Anesthesia|Sideshow by the Seashore|Malibu Love Nest|Still at Home|Tracy I Love You|Lost in Space|Freakin' and Peakin'|Bewitched|Friendly Advice|^encore|Moon Palace|23 Minutes in Brussels|^encore 2|Season of the Witch|,^ENCORE,,0,,
Egg Nog|California (All The Way)|Going Home|Speedbumps|Malibu Love Nest|Sideshow by the Seashore|Chinatown|This Time Around|Tracy I Love You|Still at Home|Freakin' and Peakin'|Lost in Space|Time to Quit|Friendly Advice|^encore|23 Minutes in Brussels|Rock Your Baby|,^ENCORE,,0,,
Egg Nog|California (All The Way)|Going Home|Malibu Love Nest|Chinatown|This Time Around|Tracy I Love You|Freakin' and Peakin'|Lost in Space|Time to Quit|Friendly Advice|Rock Your Baby|23 Minutes in Brussels|Sweet Child o' Mine|^encore|Season of the Witch|Bonnie and Clyde|,^ENCORE,,0,,
|,^ENCORE,,0,,
Slide|Speedbumps|Chinatown|Sideshow by the Seashore|Malibu Love Nest|Pup Tent|This Time Around|California (All The Way)|Tracy I Love You|Bewitched|Moon Palace|Lost in Space|23 Minutes in Brussels|^encore|Friendly Advice|Indian Summer|^encore 2|Tiger Lily|,^ENCORE,,0,,
Egg Nog|Chinatown|Speedbumps|Going Home|Malibu Love Nest|Sideshow by the Seashore|Still at Home|This Time Around|Tracy I Love You|Bewitched|Moon Palace|Friendly Advice|Lost in Space|23 Minutes in Brussels|^encore|Slide|Indian Summer|^encore 2|Tugboat|,^ENCORE,,0,,
Slide|Speedbumps|Chinatown|Sideshow by the Seashore|This Time Around|Malibu Love Nest|Still at Home|Tracy I Love You|Moon Palace|California (All The Way)|Bewitched|Lost in Space|Friendly Advice|^encore|Tiger Lily|23 Minutes in Brussels|,^ENCORE,,0,,
Chinatown|Sideshow by the Seashore|Speedbumps|Anesthesia|Malibu Love Nest|Still at Home|Going Home|One Fine Summer Morning [Britta Phillips]|Ingrid Superstar [Britta Phillips]|Tracy I Love You|Bewitched|Lost in Space|Time to Quit|Friendly Advice|^encore|Fire in Cairo|California (All The Way)|23 Minutes in Brussels|,^ENCORE,,0,,
|,^ENCORE,,0,,
Chinatown|Sideshow by the Seashore|Speedbumps|Pup Tent|Malibu Love Nest|This Time Around|One Fine Summer Morning [Britta Phillips]|Ingrid Superstar [Britta Phillips]|California (All The Way)|Tracy I Love You|Moon Palace|Lost in Space|Friendly Advice|^encore|Fire in Cairo|23 Minutes in Brussels|^encore 2|Tugboat|,^ENCORE,,0,,
California (All The Way)|Sideshow By The Seashore|Speedbumps|Bewitched|One Fine Summer Morning [Britta Phillips]|Pup Tent|Indian Summer|Still At Home|Anesthesia|Malibu Love Nest|Friendly Advice|Tracy I Love You|Going Home|^encore|Fire In Cairo|23 Minutes in Brussels|^encore 2|Tugboat|,^ENCORE,,0,,
|,^ENCORE,,0,,
Chinatown|California (All The Way)|Pup Tent|Lovedust|Malibu Love Nest|Sideshow By The Seashore|Rhythm King|Bewitched|Tracy I Love You|Tiger Lily|Friendly Advice|Lost In Space|23 Minutes In Brussels|^encore|Fire In Cairo|Indian Summer|,^ENCORE,,0,,
|,^ENCORE,,0,,
23 Minutes In Brussels|Pup Tent|Malibu Love Nest|Tiger Lily|This Time Around|Still At Home|Speedbumps|One Fine Summer Morning [Britta Phillips]|Tracy I Love You|Bewitched|Kalamazoo|Lost In Space|Friendly Advice|^encore|Anesthesia|Chinatown|Indian Summer|^encore 2|Blue Thunder|,^ENCORE,,0,,
^Penthouse|Chinatown|Sideshow By The Seashore|Moon Palace|Double Feature|23 Minutes In Brussels|Lost In Space|Rhythm King|Kalamazoo|Freakin' and Peakin'|Bonnie and Clyde|^encore|Slide|Lovedust|Season of the Witch|Fuzzy Wuzzy|,^ENCORE,,0,,
^Penthouse|Chinatown|Sideshow By The Seashore|Moon Palace|Double Feature|23 Minutes In Brussels|Lost In Space|Rhythm King|Kalamazoo|Hedgehog|Freakin' and Peakin'|Bonnie and Clyde|^encore|One Fine Summer Morning [Britta Phillips]|Malibu Love Nest|Speedbumps|Anesthesia|Friendly Advice|,^ENCORE,,0,,
^Penthouse|Chinatown|Sideshow By The Seashore|Moon Palace|Double Feature|23 Minutes In Brussels|Lost In Space|Rhythm King|Kalamazoo|Hedgehog|Freakin' and Peakin'|Bonnie and Clyde|^encore|Pup Tent|Tracy I Love You|Indian Summer|,^ENCORE,,0,,
^Penthouse|Chinatown|Sideshow By The Seashore|Moon Palace|Double Feature|23 Minutes In Brussels|Lost In Space|Rhythm King|Kalamazoo|Hedgehog|Freakin' and Peakin'|Bonnie and Clyde|^encore|Malibu Love Nest|Bewitched|Friendly Advice|^encore 2|Bobby Peru|Indian Summer|,^ENCORE,,0,,
Chinatown|Malibu Love Nest|Speedbumps|23 Minutes In Brussels|Lovedust|Sideshow By The Seashore|Tracy I Love You|One Fine Summer Morning [Britta Phillips]|Lost In Space|Still At Home|Anesthesia|Blue Thunder|Friendly Advice|,^ENCORE,,0,,
^Penthouse|Chinatown|Sideshow By The Seashore|Moon Palace|Double Feature|23 Minutes In Brussels|Lost In Space|Rhythm King|Kalamazoo|Hedgehog|Freakin' and Peakin'|Bonnie and Clyde|^encore|Tracy I Love You|Tiger Lily|Indian Summer|Tugboat|,^ENCORE,,0,,
|,^ENCORE,,0,,
California (All The Way)|Tiger Lily|Friendly Advice|Bewitched|This Time Around|Great Jones Street|Going Home|Into The Fold|I Know You Tried|Sleeping Pill|^encore 1|Slide|Pup Tent|Tracy I Love You|Malibu Love Nest|Indian Summer|^encore 2|Fuzzy Wuzzy|,^ENCORE,,0,,
Chinatown|Sideshow by the Seashore|Moon Palace|Double Feature|23 Minutes in Brussels|Lost In Space|Rhythm King|Kalamazoo|Hedgehog|Freakin' and Peakin'|Bonnie and Clyde|^encore 1|Season of the Witch|Anesthesia|Outdoor Miner|Bobby Peru|^encore2|Time to Quit|,^ENCORE,,0,,
Malibu Love Nest|Cindy Tastes of Barbecue|Speedbumps|The Owl and The Pussycat|Astronaut|Broken Chair|Star Spangled Man|Motel Bambi|Still At Home|Buffalo Boots|Rainbow Babe|^encore 1|Bewitched|I Know You Tried|Chinatown|Friendly Advice|^encore 2|23 Minutes in Brussels|,^ENCORE,,0,,
|,^ENCORE,,0,,
|,^ENCORE,,0,,
|,^ENCORE,,0,,
Fire in Cairo|Sideshow by the Seashore|Hey Sister|Malibu Love Nest|Gin|Chinatown|Let Me Dream If I Want To|Black Postcards|Broken Chair|Car Wash Hair|Lost In Space|I Want Everything|23 Minutes In Brussels|^encore 1|GTX3|Sweet Child O Mine|^encore 2|Anesthesia|,^ENCORE,,0,,
Bewitched|Malibu Love Nest|Gin|Sideshow by the Seashore|Going Home|Fire in Cairo|Friends|Tracy I Love You|Hey Sister|Let Me Dream If I Want To|Chinatown|Car Wash Hair|^encore|23 Minutes In Brussels|Time to Quit|,^ENCORE,,0,,
California (All The Way)|Sideshow by the Seashore|Gin|One Fine Summer Morning|I Want Everything|Chinatown|Broken Chair|One Together|Freakin and Peakin|GTX3|Moon Palace|23 Minutes in Brussels|^encore 1|Sweet Child O Mine|Indian Summer|^encore 2|Friendly Advice|,^ENCORE,,0,,
Fuzzy Wuzzy|Malibu Love Nest|Sideshow by the Seashore|Let Me Dream If I Want To|Fire in Cairo|Tracy I Love You|Chinatown|Car Wash Hair|Friendly Advice|Lost In Space|23 Minutes in Brussels|Time to Quit|Sweet Child O Mine|,^ENCORE,,0,,
Fuzzy Wuzzy|Let Me Dream If I Want To|Chinatown|Hey Sister|Fire in Cairo|Black Postcards|Broken Chair|Tracy I Love You|Most Of The Time|Anesthesia|Malibu Love Nest|Friendly Advice|^encore 1|One Fine Summer Morning|Car Wash Hair|^encore 2|23 Minutes in Brussels|,^ENCORE,,0,,
Slide|Fire in Cairo|Chinatown|Gin|Moon Palace|Friendly Advice|One Fine Summer Morning|Tracy I Love You|California (All The Way)|Car Wash Hair|Malibu Love Nest|23 Minutes in Brussels|^encore|Sweet Child o Mine|Indian Summer|,^ENCORE,,0,,
GTX3|Sideshow by the Seashore|Fire in Cairo|Malibu Love Nest|Most of the Time|Chinatown|Tracy I Love You|Still At Home|Let Me Dream If I Want To|Freakin' and Peakin'|Car Wash Hair|I Want Everything|Friendly Advice|^encore 1|One Fine Summer Morning|23 Minutes In Brussels|^encore 2|Everybody's Talkin'|,^ENCORE,,0,,
GTX3|Sideshow by the Seashore|Malibu Love Nest|Gin|Hey Sister|Let Me Dream If I Want To|Tracy I Love You|Still at Home|Lost in Space|Chinatown|Car Wash Hair|I Want Everything|Friendly Advice|^encore|One Fine Summer Morning|23 Minutes in Brussels|,^ENCORE,,0,,
GTX3|Sideshow by the Seashore|Malibu Love Nest|Fire In Cairo|Bewitched|This Time Around|Still at Home|Gin|Bobby Peru|Friendly Advice|Moon Palace|23 Minutes in Brussels|^encore|One Fine Summer Morning|Fuzzy Wuzzy|,^ENCORE,,0,,
|,^ENCORE,,0,,
GTX3|Chinatown|Fire In Cairo|Sideshow By The Seashore|Most Of The Time|Malibu Love Nest|Still at Home|Gin|Bobby Peru|Lost In Space|Car Wash Hair|I Want Everything|Friendly Advice|^encore 1|One Fine Summer Morning|23 Minutes in Brussels|^encore 2|Everybody's Talkin'|,^ENCORE,,0,,
|,^ENCORE,,0,,
GTX3|California (All the Way)|One Together|Fire in Cairo|Chinatown|Let Me Dream If I Want To|Malibu Love Nest|Broken Chair|Bobby Peru|Math Wiz|Bewitched|Car Wash Hair|Hey Sister|23 Minutes in Brussels|^encore|One Fine Summer Morning|Friendly Advice|,^ENCORE,,0,,
Fire in Cairo|Friends|^interview|23 Minutes in Brussels|,^ENCORE,,0,,
|,^ENCORE,,0,,
Slide|Fire in Cairo|Chinatown|Going Home|Gin|Sideshow by the Seashore|Malibu Love Nest|Cindy Tastes of Barbecue|Broken Chair|Bewitched|Car Wash Hair|I Want Everything|Lost in Space|Friendly Advice|^encore|Time to Quit|23 Minutes in Brussels|^encore 2|Everybody's Talkin'|,^ENCORE,,0,,
|,^ENCORE,,0,,
GTX3|Slide|Fire in Cairo|Let Me Dream If I Want To|Going Home|Chinatown|Gin|Freakin' and Peakin'|Lost in Space|Still at Home|Malibu Love Nest|Friendly Advice|One Fine Summer Morning|23 Minutes in Brussels|^encore|IHOP ^(incomplete)|California (All the Way)|Fuzzy Wuzzy|,^ENCORE,,0,,
GTX3|Sideshow by the Seashore|Malibu Love Nest|Gin|This Time Around|Fire in Cairo|Chinatown|Broken Chair|Friendly Advice|Bobby Peru|Car Wash Hair|I Want Everything|23 Minutes in Brussels|^encore|One Fine Summer Morning|Fuzzy Wuzzy|Indian Summer|,^ENCORE,,0,,
Slide|Fire in Cairo|Chinatown|Let Me Dream If I Want To|Bewitched|Going Home|Freakin' and Peakin'|Still at Home|Car Wash Hair|I Want Everything|Malibu Love Nest|Moon Palace|23 Minutes in Brussels|^encore|One Fine Summer Morning|Sideshow by the Seashore|Friendly Advice|,^ENCORE,,0,,
Chinatown|Fire in Cairo|California (All the Way)|Pup Tent|Rhythm King|Malibu Love Nest|Most of the Time|Tracy I Love You|Freakin' and Peakin'|Lost in Space|23 Minutes in Brussels|Still at Home|Friendly Advice|^encore|One Fine Summer Morning|Fuzzy Wuzzy|^encore 2|Car Wash Hair|,^ENCORE,,0,,
Fire in Cairo|Friends|,^ENCORE,,0,,
GTX3|Slide|Going Home|Sideshow by the Seashore|Friends|Tracy I Love You|Fire in Cairo|Malibu Love Nest|Cindy Tastes of Barbecue|Still At Home|Bewitched|Car Wash Hair|^encore|Chinatown|Black Postcards|Friendly Advice|,^ENCORE 1,,0,,
Chinatown|Gin|Sideshow by the Seashore|Fire in Cairo|Malibu Love Nest|Cindy Tastes of Barbecue|Tracy I Love You|Still at Home|Bewitched|Friendly Advice|I Want Everything|This Time Around|23 Minutes in Brussels|^encore|One Fine Summer Morning|Tugboat|^encore 2|Indian Summer|,^ENCORE 1,,0,,
GTX3|Sideshow by the Seashore|Fire in Cairo|Going Home|Speedbumps|Car Wash Hair|Still at Home|Freakin and Peakin|Chinatown|Tracy I Love You|Anesthesia|One Fine Summer Morning|Friendly Advice|^encore|Most of the Time|Tugboat|23 Minutes in Brussels|,^ENCORE 1,,0,,
GTX3|Slide|Let Me Dream If I Want To|Sideshow By The Seashore|Friends|California (All The Way)|Freakin' and Peakin'|Chinatown|Car Wash Hair|Lost In Space|One Fine Summer Morning|Indian Summer|^encore|Tugboat|23 Minutes in Brussels|,^ENCORE 1,,0,,
GTX3|Anesthesia|Fire in Cairo|Cindy Tastes of Barbecue|Malibu Love Nest|Still At Home|Chinatown|Double Feature|Moon Palace|Car Wash Hair|Bewitched|Friendly Advice|^encore|One Fine Summer Morning|Fuzzy Wuzzy|^encore 2|23 Minutes in Brussels|Everybody's Talkin'|,^ENCORE 1,,0,,
Car Wash Hair|Friends|Let Me Dream If I Want To|Chinatown|Tracy I Love You|Anesthesia|Malibu Love Nest|I Want Everything|Freakin' and Peakin'|Broken Chair|Lost In Space|Friendly Advice|^encore|Indian Summer|Everybody's Talkin'|^encore 2|Pup Tent|,^ENCORE 1,,0,,
GTX3|^interview|Sideshow by the Seashore|^interview|Captain Pentagon|,^ENCORE 1,,0,,
