section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,i-was-there,calendar-subject
dean-and-britta,dean-and-britta,Dean & Britta,2005,2005-12-08,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Paula Cooper Gallery,New York,NY,USA,paula-cooper-gallery-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Swedish Fish|Hearing Voices|Knives From Bavaria|Night Nurse,,,,,,,Benefit for arts magazine Open City. Dean &amp; Britta will be playing a short set (4 songs) and tickets are from $75!,|swedishfish|hearingvoices|knivesfrombavaria|nightnurse|,,"2005: Dean & Britta - Paula Cooper Gallery, New York, NY, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2006,2006-05-03,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,UCB Theatre,New York,NY,USA,ucb-theatre-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,Special guests in “The Dave Hill Explosion,,,"2006: Dean & Britta - UCB Theatre, New York, NY, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2006,2006-12-16,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Abrons Art Center,New York,NY,USA,abrons-art-center-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2006: Dean & Britta - Abrons Art Center, New York, NY, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-01-09,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Mo Pitkin's,New York,NY,USA,mo-pitkins-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,The Sun Is Still Sunny|Me and My Babies|Hear The Wind Blow|Wait For Me|Hearing Voices|You Turned My Head Around|White Horses|Since I Lay My Burden Down|Knives From Bavaria|Temperature's Rising|Tugboat|Night Nurse|Blue Thunder,,,,,,,"with Sonic Boom - 'We had Matt Johnson on drums and Seal McCaul on vibraphones (both of them play on both of our albums). And Sonic Boom joined us on Casio, Electribe and Omnichord for 4 songs.' ~ Britta Phillips",|thesunisstillsunny|meandmybabies|hearthewindblow|waitforme|hearingvoices|youturnedmyheadaround|whitehorses|sinceilaymyburdendown|knivesfrombavaria|temperaturesrising|tugboat|nightnurse|bluethunder|,,"2007: Dean & Britta - Mo Pitkin's, New York, NY, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-01-23,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Mo Pitkin's,New York,NY,USA,mo-pitkins-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Since I Lay My Burden Down|The Sun Is Still Sunny|You Turned My Head Around|Hear The Wind Blow|Night Nurse|Words You Used To Say|White Horses|Temperature's Rising|Knives From Bavaria|Hearing Voices|Bonnie and Clyde|Ginger Snaps,,,,,,,,|singersing|sinceilaymyburdendown|thesunisstillsunny|youturnedmyheadaround|hearthewindblow|nightnurse|wordsyouusedtosay|whitehorses|temperaturesrising|knivesfrombavaria|hearingvoices|bonnieandclyde|gingersnaps|,,"2007: Dean & Britta - Mo Pitkin's, New York, NY, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-01-25,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Union Hall,Brooklyn,NY,USA,union-hall-brooklyn-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2007: Dean & Britta - Union Hall, Brooklyn, NY, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-08,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,World Cafe Live,Philadelphia,PA,USA,world-cafe-live-philadelphia-pa-usa,Radio session,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Ginger Snaps|Words You Used To Say|Hear The Wind Blow|You Turned My Head Around|Moon Palace|The Sun Is Still Sunny|White Horses|Since I Lay My Burden Down|Bewitched|Knives From Bavaria|Hearing Voices|Night Nurse|Chinatown|Bonnie and Clyde,,,,,,,,|singersing|gingersnaps|wordsyouusedtosay|hearthewindblow|youturnedmyheadaround|moonpalace|thesunisstillsunny|whitehorses|sinceilaymyburdendown|bewitched|knivesfrombavaria|hearingvoices|nightnurse|chinatown|bonnieandclyde|,,"2007: Dean & Britta - World Cafe Live, Philadelphia, PA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-09,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,MFA,Boston,MA,USA,mfa-boston-ma-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Hear The Wind Blow|Words You Used To Say|White Horses|Moon Palace|Since I Lay My Burden Down|You Turned My Head Around|Bewitched|Ginger Snaps|Hearing Voices|Chinatown|Knives From Bavaria|Tugboat|Bonnie and Clyde,,,,,,,,|singersing|nightnurse|hearthewindblow|wordsyouusedtosay|whitehorses|moonpalace|sinceilaymyburdendown|youturnedmyheadaround|bewitched|gingersnaps|hearingvoices|chinatown|knivesfrombavaria|tugboat|bonnieandclyde|,,"2007: Dean & Britta - MFA, Boston, MA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-10,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Main Hall,Quebec,,Canada,main-hall-quebec-canada,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2007: Dean & Britta - Main Hall, Quebec, Canada"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-12,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Mod Club,Toronto,Ontaria,Canada,mod-club-toronto-ontaria-canada,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Hear The Wind Blow|You Turned My Head Around|Moon Palace|The Sun Is Still Sunny|Words You Used To Say|Since I Lay My Burden Down|Knives From Bavaria|Chinatown|Tiger Lily|Strange|Bonnie and Clyde|Ginger Snaps|Tugboat,,,,,,,,|singersing|nightnurse|hearthewindblow|youturnedmyheadaround|moonpalace|thesunisstillsunny|wordsyouusedtosay|sinceilaymyburdendown|knivesfrombavaria|chinatown|tigerlily|strange|bonnieandclyde|gingersnaps|tugboat|,,"2007: Dean & Britta - Mod Club, Toronto, Ontaria, Canada"
