Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
I Have Nothing to Say to The Mayor of L.A.,Dean Wareham,,MASTER,,,2021,,,,,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean-wareham-i-have-nothing-to-say.jpg,,,[155] Dean Wareham - I Have Nothing to Say to The Mayor of LA (CD)|https://www.fullofwishes.co.uk/2024/06/27/my-record-collection-148-dean-wareham-i-have-nothing-to-say-to-the-mayor-of-la-cd/;[160] Dean Wareham - I Have Nothing to Say to the Mayor of LA (test pressing)|https://www.fullofwishes.co.uk/2024/07/15/my-record-collection-153-dean-wareham-i-have-nothing-to-say-to-the-mayor-of-la-test-pressing/;[279] Dean Wareham - I Have Nothing to Say to The Mayor of LA|https://www.fullofwishes.co.uk/2025/08/25/my-record-collection-dean-wareham-i-have-nothing-to-say-to-the-mayor-of-la/;
I Have Nothing to Say to The Mayor of L.A.,Dean Wareham,,LP,,,2021,Double Feature,LP-DBL-0018,The Past Is Our Plaything|Cashing In|The Last Word|Robin and Richard|The Corridors of Power,Just as Much as It Was Worth|Under Skys|Duchess|Red Hollywood|Why Are We in Vietnam?,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean-wareham-i-have-nothing-to-say.jpg,"500 copies in red vinyl, the remainder in balck.",|thepastisourplaything|cashingin|thelastword|robinandrichard|thecorridorsofpower|justasmuchasitwasworth|underskys|duchess|redhollywood|whyareweinvietnam|||,
I Have Nothing to Say to The Mayor of L.A.,Dean Wareham,,CD,,,2021,Double Feature,CD-DBL-0018,The Past Is Our Plaything|Cashing In|The Last Word|Robin and Richard|The Corridors of Power|Just as Much as It Was Worth|Under Skys|Duchess|Red Hollywood|Why Are We in Vietnam?,,,,,,|thepastisourplaything|cashingin|thelastword|robinandrichard|thecorridorsofpower|justasmuchasitwasworth|underskys|duchess|redhollywood|whyareweinvietnam||||,
