Title,Artist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes
Miscellaneous,Galaxie 500,MASTER,,,,,,,,,,,
Galaxie 500,Galaxie 500,4xCD,,US,1996,,RCD 10355,Flowers|Pictures|Parking Lot|Don't Let Our Youth Go to Waste|Temperature's Rising|Oblivious|It's Getting Late|Instrumental|Tugboat|King of Spain|Tugboat (video),Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night|When Will You Come Home (video),"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain Part Two|Here She Comes Now|Fourth of July (video)",Cheese and Onions|Them|Final Day|Blue Thunder (w/sax)|Maracas Song|Crazy|Jerome|Song in 3|Oblivious (alternate version)|I Can't Believe It's Me|Walking Song|The Other Side|On the Floor|Rain (live)|Don't Let Our Youth Go to Waste (live)|Blue Thunder (video),,
