Title,Artist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes
Peel Sessions,Galaxie 500,MASTER,,,2005,,,,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_peelsessions.jpg,
Peel Sessions,Galaxie 500,CD,8,US,2005,20|20|20,202020.02,Submission|Final Day|When Will You Come Home|Moonshot|Flowers|Blue Thunder|Decomposing Trees|Don't Let Our Youth Go to Waste,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_peelsessions.jpg,
