Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
Dean Wareham vs. Cheval Sombre,Dean Wareham,Dean Wareham vs. Cheval Sombre,MASTER,,,2018,,,,,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean-wareham-vs-cheval-sombre-640.jpg,,,[037] Dean Wareham vs Cheval Sombre|https://www.fullofwishes.co.uk/2023/05/25/my-record-collection-037-dean-wareham-vs-cheval-sombre/
Dean Wareham vs. Cheval Sombre,Dean Wareham,Dean Wareham vs. Cheval Sombre,LP,,,2018,Double Feature,,The Bend in the River|Tomorrow is a Long Time|Mountains of the Moon|If I Could Only Fly|Wayfaring Stranger,"Alberta|Wand'rin' Star|Greensboro Woman|My Rifle, My Pony and Me|Grand Canyon",,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean-wareham-vs-cheval-sombre-640.jpg,,Loading...,
Dean Wareham vs. Cheval Sombre,Dean Wareham,Dean Wareham vs. Cheval Sombre,CD,,,2018,Double Feature,,"The Bend in the River|Tomorrow is a Long Time|Mountains of the Moon|If I Could Only Fly|Wayfaring Stranger|Alberta|Wand'rin' Star|Greensboro Woman|My Rifle, My Pony and Me|Grand Canyon",,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean-wareham-vs-cheval-sombre-640.jpg,,Loading...,
