Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
I Have Nothing to Say to The Mayor of L.A.,Dean Wareham,,MASTER,,,2021,,,,,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean-wareham-i-have-nothing-to-say.jpg,,
I Have Nothing to Say to The Mayor of L.A.,Dean Wareham,,LP,,,2021,Double Feature,,The Past Is Our Plaything|Cashing In|The Last Word|Robin and Richard|The Corridors of Power,Just as Much as It Was Worth|Under Skys|Duchess|Red Hollywood|Why Are We in Vietnam?,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean-wareham-i-have-nothing-to-say.jpg,,|thepastisourplaything|cashingin|thelastword|robinandrichard|thecorridorsofpower|justasmuchasitwasworth|underskys|duchess|redhollywood|whyareweinvietnam|||
