Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
Back Numbers,Dean & Britta,,MASTER,,,2007,,,,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_backnumbers.jpg,,,
Back Numbers,Dean & Britta,,CD,,,2007,Zoë,01143-1105-2,Singer Sing|Words You Used to Say|Wait For Me|You Turned My Head Around|Teen Angel|White Horses|Me and My Babies|Say Goodnight|Crystal Blue R.I.P.|The Sun is Still Sunny|Our Love Will Still be There,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_backnumbers.jpg,,|singersing|wordsyouusedtosay|waitforme|youturnedmyheadaround|teenangel|whitehorses|meandmybabies|saygoodnight|crystalbluerip|thesunisstillsunny|ourlovewillstillbethere||||,[008] Dean & Britta - Back Numbers (advance CD)|https://www.fullofwishes.co.uk/2023/02/13/my-record-collection-008-dean-britta-back-numbers/;[249] Dean & Britta - Back Numbers (CD)|https://www.fullofwishes.co.uk/2025/05/12/my-record-collection-dean-britta-back-numbers-cd/
Back Numbers,Dean & Britta,,LP,,,2019,Wouldn't Waste,WWR-13,Singer Sing|Words You Used to Say|Wait For Me|You Turned My Head Around|The Sun is Still Sunny,Teen Angel|White Horses|Me and My Babies|Say Goodnight|Crystal Blue R.I.P.|Our Love Will Still be There,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_backnumbers.jpg,,|singersing|wordsyouusedtosay|waitforme|youturnedmyheadaround|thesunisstillsunny|teenangel|whitehorses|meandmybabies|saygoodnight|crystalbluerip|ourlovewillstillbethere|||,[184] Dean & Britta - Back Numbers (LP)|https://www.fullofwishes.co.uk/2024/10/07/my-record-collection-177-dean-britta-back-numbers-lp/
