Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
Live Bewitched,Luna,,MASTER,,,2022,,,,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-live-bewitched-bandcamp.jpg,,
Live Bewitched,Luna,,Digital,,,2022,\[no label\],,California (All The Way)|Tiger Lily|Friendly Advice|Bewitched|This Time Around|Great Jones Street|Going Home|Into the Fold|I Know You Tried|Sleeping Pill|Indian Summer,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-live-bewitched-bandcamp.jpg,,|californiaalltheway|tigerlily|friendlyadvice|bewitched|thistimearound|greatjonesstreet|goinghome|intothefold|iknowyoutried|sleepingpill|indiansummer||||
Live Bewitched,Luna,,2xLP,,US,2023,Bandbox,,California (All The Way)|Tiger Lily|Friendly Advice,Bewitched|This Time Around|Great Jones Street|Going Home,Into the Fold|I Know You Tried|Sleeping Pill,Anesthesia|Bobby Peru,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-live-bewitched-lp.png,,|californiaalltheway|tigerlily|friendlyadvice|bewitched|thistimearound|greatjonesstreet|goinghome|intothefold|iknowyoutried|sleepingpill|anesthesia|bobbyperu|
