Title,Artist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes
Song to the Siren,Damon & Naomi,MASTER,,,,,,,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_songtothesiren.jpg,
Song to the Siren,Damon & Naomi,CD/DVD,,,2002,Sub Pop,SPCD592,Judah and the Maccabees|The New World|Eye of the Storm|Song to the Siren|The Navigator|The Great Wall|I Dreamed of the Caucasus|New York City|Tanka|Turn of the Century|Love,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_songtothesiren.jpg,
1001 Nights,Damon & Naomi,LP/DVD,,,2009,Factory 25,FTF-002,Judah and the Maccabees|The New World|Eye of the Storm|The Navigator|The Great Wall,I Dreamed of the Caucasus|New York City|Tanka|Turn of the Century|Love,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/damon-and-naomi-1001-nights.jpg,
