Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes
Miscellaneous,Dean & Britta,,MASTER,,,,,,,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_squid.jpg,"Promos, compilations, etc."
The Squid and the Whale: Soundtrack to the Motion Picture,Dean & Britta,,CD,,2005,Ultra,Wed Feb 01 1330 00:00:00 GMT-0001 (Greenwich Mean Time),,Park Slope|Hey You|Family Conference,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_squid.jpg,
Occupied Europe / I'll Keep It With Mine,Dean & Britta,,7,,2010,Great Pop Supplement,GPS55,,I'll Keep It With Mine,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab-ill-keep-it-with-mine-sand-pebbles.jpg,Split single with Sand Pebbles
Luck or Magic,Britta Phillips,,LP,,2016,Double Feature,,,Daydream|Do It Last|One Fine Summer Morning|Million Dollar Doll|Drive,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/britta-phillips-luck-or-magic.jpg,
