Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
Damon & Naomi with Ghost,Damon & Naomi,,MASTER,,,,,,,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_withghost.jpg,,,"[077] Damon & Naomi - With Ghost (CD)|https://www.fullofwishes.co.uk/2023/10/02/my-record-collection-074-damon-naomi-with-ghost-cd/;[151] Damon & Naomi with Ghost (LP) and Femme Fatale / My Flower 7""|https://www.fullofwishes.co.uk/2024/06/13/my-record-collection-144-damon-naomi-with-ghost-lp/;[237] Damon & Naomi with Ghost (promo CD)|https://www.fullofwishes.co.uk/2025/03/31/my-record-collection-damon-naomi-with-ghost-promo-cd/;"
Damon & Naomi with Ghost,Damon & Naomi,,LP,,,2000,Sub Pop,SPCD501,The Mirror Phase|The New World|Judah and the Maccabees|Blue Moon|The Great Wall|I Dreamed of the Caucasus|Don't Forget|Tanka|Eulogy to Lenny Bruce,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_withghost.jpg,,|themirrorphase|thenewworld|judahandthemaccabees|bluemoon|thegreatwall|idreamedofthecaucasus|dontforget|tanka|eulogytolennybruce||||,
Damon & Naomi with Ghost,Damon & Naomi,,LP,,,2000,Drag City,DC206,The Mirror Phase|The New World|Judah and the Maccabees|Blue Moon|The Great Wall,I Dreamed of the Caucasus|Don't Forget|Tanka|Eulogy to Lenny Bruce,Femme Fatale|My Flower (Watashi No Hana),,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_withghost.jpg,,|themirrorphase|thenewworld|judahandthemaccabees|bluemoon|thegreatwall|idreamedofthecaucasus|dontforget|tanka|eulogytolennybruce|femmefatale|myflowerwatashinohana||,
Damon & Naomi with Ghost,Damon & Naomi,,CD,,,2000,Elefant,ER-1079,The Mirror Phase|The New World|Judah and the Maccabees|Blue Moon|The Great Wall|I Dreamed of the Caucasus|Don't Forget|Tanka|Eulogy to Lenny Bruce,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_withghost.jpg,,|themirrorphase|thenewworld|judahandthemaccabees|bluemoon|thegreatwall|idreamedofthecaucasus|dontforget|tanka|eulogytolennybruce||||,
Damon & Naomi with Ghost,Damon & Naomi,,CD,,,2002,P-Vine,PCD-23270,The Mirror Phase|The New World|Judah and the Maccabees|Blue Moon|The Great Wall|I Dreamed of the Caucasus|Don't Forget|Tanka|Eulogy to Lenny Bruce|Femme Fatale,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_withghost.jpg,,|themirrorphase|thenewworld|judahandthemaccabees|bluemoon|thegreatwall|idreamedofthecaucasus|dontforget|tanka|eulogytolennybruce|femmefatale||||,
Damon & Naomi with Ghost,Damon & Naomi,,CD,,,2012,Drag City,DC 206CD,The Mirror Phase|The New World|Judah and the Maccabees|Blue Moon|The Great Wall|I Dreamed of the Caucasus|Don't Forget|Tanka|Eulogy to Lenny Bruce,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_withghost.jpg,,|themirrorphase|thenewworld|judahandthemaccabees|bluemoon|thegreatwall|idreamedofthecaucasus|dontforget|tanka|eulogytolennybruce||||,
