Title,Artist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes
13 Most Beautiful: Songs for Andy Warhol's Screen Tests,Dean & Britta,MASTER,,,1990,,,,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_13mb.jpg,
13 Most Beautiful: Songs for Andy Warhol's Screen Tests,Dean & Britta,CDx2,,,2010,Double Feature,CD-DBL-005,Silver Factory Theme|I'll Keep It With Mine|Not a Young Man Anymore|I Found it Not So|It Don't Rain in Beverly Hills|Incandescent Innocent|International Velvet Theme|Teenage Lightning|Herringbone Tweed|Richard Rheem Theme|Knives From Bavaria|Eyes in My Smoke|Ann Buchanan Theme,Incandescent Innocent|I'll Keep It With Mine|Silver Factory Theme|Not a Young Man Anymore|I Found it Not So|It Don't Rain in Beverly Hills|International Velvet Theme|Teenage Lightning,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_13mb.jpg,
13 Most Beautiful: Songs for Andy Warhol's Screen Tests,Dean & Britta,CD,,,2011,Double Feature,CD-DBL-006,Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found it Not So|I'll Keep It With Mine|Incandescent Innocent|Richard Rheem Theme|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_13mostbeautiful_pink.jpg,
13 Most Beautiful: Songs for Andy Warhol's Screen Tests,Dean & Britta,LPx2,,,2017,Wouldn't Waste,WWR-01,Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme,Herringbone Tweed|I Found it Not So|I'll Keep It With Mine,Richard Rheem Theme|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_13mostbeautiful_pink.jpg,
