slug,artistname,year,date,date-added,series,venue,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,notes
galaxie-500,Galaxie 500,1988,Sun May 29 1988 00:00:00 GMT+0100 (British Summer Time),,,"Green St Station, Jamaica Plain, MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,"Benefit with Big Daddy Cool and the JP Flames, Slaughter Shack, Madding Crowd, Hullabaloo,Xanna Don’t, Galaxie 500, Nobody Home and readings by Kenne Highland, Billy Ruane and Jeff Gagnon"
galaxie-500,Galaxie 500,1988,Wed Jun 01 1988 00:00:00 GMT+0100 (British Summer Time),,,"Rat, Boston MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,DW: “Record release party for Gigolo Aunts”
galaxie-500,Galaxie 500,1988,Thu Sep 22 1988 00:00:00 GMT+0100 (British Summer Time),,,"Green St Station, Jamaica Plain, MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1988,Fri Oct 21 1988 00:00:00 GMT+0100 (British Summer Time),,,"Rat, Boston MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,"“Celebrating the release of the album TODAY by GALAXIE 500”Aurora Records album launch party with Bitch Magnet, Salem 66 and The Cavedogs"
galaxie-500,Galaxie 500,1988,Thu Nov 03 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Green St Station, Jamaica Plain, MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1988,Fri Nov 11 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Lobdell Dining Hall, Stratton Stu, Boston MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1988,Tue Dec 13 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,"CBGBs, New York NY, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,Benefit for See/Hear. Supporting Sonic Youth and B.A.L.L.
galaxie-500,Galaxie 500,1988,Fri Dec 16 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Rat, Boston MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Tugboat|Oblivious|Parking Lot|Don't Let Our Youth Go to Waste|When Will You Come Home|I Wanna Live|Flowers|Temperature's Rising,,,,,,"Supporting The Pixies.This was in the database as a show from December 1987 but having listened to it evidence suggests that its probably from a year later.In the show Dean mentions asks if anyone has their album which wasnt released until October 1988, and he also shouts "stick around for The Pixies" at the end."
galaxie-500,Galaxie 500,1989,Sat Feb 25 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Rat, Boston MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Sat Mar 18 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Rat, Boston MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,DW: “Opening for Flaming Lips”
galaxie-500,Galaxie 500,1989,Wed Mar 29 1989 00:00:00 GMT+0100 (British Summer Time),,,"Cabaret Metro, Chicago, IL, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Fri Mar 31 1989 00:00:00 GMT+0100 (British Summer Time),,,"Furst Rock, St Louis, MO, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,Two sets
galaxie-500,Galaxie 500,1989,Sat Apr 01 1989 00:00:00 GMT+0100 (British Summer Time),,,"Top Hat, Newport, KY, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Mon Apr 03 1989 00:00:00 GMT+0100 (British Summer Time),,,"Wrocklage, Lexington, KY, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,https://media.fullofwishes.co.uk/01-galaxie_500/show_assets/1989-04-03/galaxie-500-1989-04-03-poster.jpg,,,
galaxie-500,Galaxie 500,1989,Tue Apr 04 1989 00:00:00 GMT+0100 (British Summer Time),,,"Masonic Temple, Pittsburgh, PA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Thu Apr 06 1989 00:00:00 GMT+0100 (British Summer Time),,,"9:30 Club, Washington DC, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,DW: “Opening for Throwing Muses”
galaxie-500,Galaxie 500,1989,Sat Apr 08 1989 00:00:00 GMT+0100 (British Summer Time),,,"Maxwell's, Hoboken, NJ, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,DW: “Opening for Christmas”
galaxie-500,Galaxie 500,1989,Fri Apr 21 1989 00:00:00 GMT+0100 (British Summer Time),,,"Commonwealth School, Boston MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Fri Apr 28 1989 00:00:00 GMT+0100 (British Summer Time),,,"The Pyramid, New York, NY, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Sat Apr 29 1989 00:00:00 GMT+0100 (British Summer Time),,,"Rat, Boston MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Flowers|When Will You Come Home|Plastic Bird|Ceremony|Temperature's Rising|Strange|Rain|Don't Let Our Youth Go to Waste|Tugboat,,,,,,
galaxie-500,Galaxie 500,1989,Fri May 12 1989 00:00:00 GMT+0100 (British Summer Time),,,"TT The Bear's, Cambridge, MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Sat May 13 1989 00:00:00 GMT+0100 (British Summer Time),,,"CBGBs, New York, NY, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Sat May 20 1989 00:00:00 GMT+0100 (British Summer Time),,,"The Channel, Boston, MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,DW: “opening for Bullet LaVolta”
galaxie-500,Galaxie 500,1989,Fri Jun 02 1989 00:00:00 GMT+0100 (British Summer Time),,,"The Living Room, Providence, RI, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Fri Jul 07 1989 00:00:00 GMT+0100 (British Summer Time),,,"Sideshows by the Seashore, Coney Island NY, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Mon Jul 17 1989 00:00:00 GMT+0100 (British Summer Time),,,"Nightingale Bar, New York NY, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Wed Jul 19 1989 00:00:00 GMT+0100 (British Summer Time),,,"Pyramid, New York NY, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Plastic Bird|Blue Thunder|Don't Let Our Youth Go to Waste|Decomposing Trees|Temperature's Rising|Ceremony,,,,,,
galaxie-500,Galaxie 500,1989,Mon Jul 31 1989 00:00:00 GMT+0100 (British Summer Time),,,"Bunratty's, Allston, MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Sat Sep 23 1989 00:00:00 GMT+0100 (British Summer Time),,,"The White Hart, Tulse Hill, London, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,https://media.fullofwishes.co.uk/01-galaxie_500/show_assets/1989-09-23/1989-09-23-galaxie-500-the-white-hart-tulse-hill-window-notice.jpg,,,Secret gigDW: “a pub in Tulse Hill”
galaxie-500,Galaxie 500,1989,Sun Sep 24 1989 00:00:00 GMT+0100 (British Summer Time),,,"BBC Radio One, London, UK",Radio session,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Flowers|Blue Thunder|Decomposing Trees|Don't Let Our Youth Go to Waste,,,,,,John Peel Session&lt;ul&gt;&lt;li&gt;Recorded: 24 September 1989&lt;/li&gt;&lt;li&gt;Transmitted: 17 October 1989&lt;/li&gt;&lt;/ul&gt;
galaxie-500,Galaxie 500,1989,Tue Sep 26 1989 00:00:00 GMT+0100 (British Summer Time),,,"ICA, London, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Flowers|Blue Thunder|Decomposing Trees|Don't Let Our Youth Go to Waste|Temperature's Rising|Snowstorm|Plastic Bird|When Will You Come Home|Ceremony|Tugboat|Rain,,,https://media.fullofwishes.co.uk/01-galaxie_500/show_assets/1989-09-26/19890926_flyer_lori.jpg,,,Supported by The Family Cat
galaxie-500,Galaxie 500,1989,Sat Oct 14 1989 00:00:00 GMT+0100 (British Summer Time),,,"Green Street Station, Jamaica Plain, MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Mon Oct 16 1989 00:00:00 GMT+0100 (British Summer Time),,,"Bunratty's, Boston, MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Sat Oct 21 1989 00:00:00 GMT+0100 (British Summer Time),,,"The Rocket, Providence, RI, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Mon Nov 06 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Basement, Brighton, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Temperature's Rising|Snowstorm|Decomposing Trees|Plastic Bird|Blue Thunder|Flowers|Don't Let Our Youth Go to Waste|When Will You Come Home,,,https://media.fullofwishes.co.uk/01-galaxie_500/show_assets/1989-11-06/1989-11-06-galaxie-500-brighton-flyer.jpg,,,Incomplete setlist
galaxie-500,Galaxie 500,1989,Wed Nov 08 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Powerhaus, London, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Thu Nov 09 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Boardwalk, Manchester, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Fri Nov 10 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Polytechnic, Wolverhampton, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Mon Nov 13 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Take 2, Sheffield, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Wed Nov 15 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Burgerweehuis, Deventer, Netherlands",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Thu Nov 16 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Vera, Groningen, Netherlands",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Fri Nov 17 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"(unknown), Haarlem, Netherlands",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,unconfirmed
galaxie-500,Galaxie 500,1989,Sat Nov 18 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Melkweg, Amsterdam, Netherlands",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Mon Nov 20 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"(unknown), Brussels, Belgium",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Tue Nov 21 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Moon Club, Paris, France",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Thu Nov 23 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"(unknown), Lausanne, Switzerland",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Fri Nov 24 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"(unknown), Basle, Switzerland",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Sat Nov 25 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"(unknown), Unterschwarzbach, Germany",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Sun Nov 26 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Trust, Nurenburg, Germany",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Flowers|Tell Me|Decomposing Trees|Snowstorm|Plastic Bird|Temperature's Rising|Don't Let Our Youth Go to Waste|When Will You Come Home|Blue Thunder|Ceremony|Here She Comes Now,,,,,,
galaxie-500,Galaxie 500,1989,Mon Nov 27 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Cookys, Frankfurt, Germany",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Tue Nov 28 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Nachtwerk, Munich, Germany",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Wed Nov 29 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Schwimmbad, Heidelberg, Germany",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Flowers|Pictures|Decomposing Trees|Snowstorm|When Will You Come Home|Temperature's Rising|Don't Let Our Youth Go to Waste|Blue Thunder|Ceremony,recording,,,,,
galaxie-500,Galaxie 500,1989,Fri Dec 01 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Ecstacy, Berlin, Germany",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Sat Dec 02 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Forum, Enger, Germany",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Flowers|Pictures|Decomposing Trees|Snowstorm|Temperature's Rising|Don't Let Our Youth Go to Waste|Plastic Bird|Victory Garden|When Will You Come Home|Blue Thunder|Ceremony|Here She Comes Now|Tugboat|Rain,,,,,,
galaxie-500,Galaxie 500,1989,Sun Dec 03 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Rose Club, Cologne, Germany",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Mon Dec 04 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"(unknown), Hamburg, Germany",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,Venue: Kir or Mitternacht
galaxie-500,Galaxie 500,1989,Wed Dec 06 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Riverside, Newcastle, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Decomposing Trees|Snowstorm|Flowers|Pictures|Temperature's Rising|Plastic Bird|Blue Thunder|When Will You Come Home|Ceremony|Tugboat,,,,,,
galaxie-500,Galaxie 500,1989,Thu Dec 07 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Venue, Edinburgh, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Fri Dec 08 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Tech, Glasgow, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Decomposing Trees|Snowstorm|Flowers|Victory Garden|Temperature's Rising|Don't Let Our Youth Go to Waste|Here She Comes Now|When Will You Come Home|Blue Thunder|Ceremony,,,,,,
galaxie-500,Galaxie 500,1989,Mon Dec 11 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Premises, Norwich, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Tue Dec 12 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Winkles, Bedford, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1989,Wed Dec 13 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Subterania, London, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Decomposing Trees|Snowstorm|Flowers|Pictures|Plastic Bird|Temperature's Rising|Don't Let Our Youth Go to Waste|When Will You Come Home|Blue Thunder|Ceremony|Tugboat,,,,,,
galaxie-500,Galaxie 500,1990,Wed Jan 17 1990 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Night Stage, Cambridge MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Flowers|Snowstorm|Decomposing Trees|Plastic Bird|Temperature's Rising|Don't Let Our Youth Go to Waste|Blue Thunder|When Will You Come Home|Ceremony|Tugboat,,,,,,
galaxie-500,Galaxie 500,1990,Thu Jan 18 1990 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Pearl Street, Northampton, MA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,
galaxie-500,Galaxie 500,1990,Fri Jan 19 1990 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Knitting Factory, New York NY, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Plastic Bird|Snowstorm|Decomposing Trees|Victory Garden|Temperature's Rising|Don't Let Our Youth Go to Waste|Blue Thunder|When Will You Come Home|Ceremony,,,,,,
galaxie-500,Galaxie 500,1990,Tue Jan 23 1990 00:00:00 GMT+0000 (Greenwich Mean Time),,,"The 40 Watt Club, Athens, GA, USA",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Decomposing Trees|Snowstorm|Flowers|Blue Thunder|Plastic Bird|Pictures|When Will You Come Home|Don't Let Our Youth Go to Waste|Here She Comes Now,,,,,,Setlist source: recording
galaxie-500,Galaxie 500,1990,Fri Feb 02 1990 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Queen Margaret Union, Glasgow, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,Supporting The Sundays
galaxie-500,Galaxie 500,1990,Mon Feb 05 1990 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Irish Centre, Birmingham, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,Supporting The Sundays
galaxie-500,Galaxie 500,1990,Tue Feb 06 1990 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Leicester University, Leicester, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,Supporting The Sundays
galaxie-500,Galaxie 500,1990,Wed Feb 07 1990 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Bierkeller, Bristol, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,Supporting The Sundays
galaxie-500,Galaxie 500,1990,Fri Feb 09 1990 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Manchester University, Manchester, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,Supporting The Sundays
galaxie-500,Galaxie 500,1990,Sat Feb 10 1990 00:00:00 GMT+0000 (Greenwich Mean Time),,,"Trent Polytechnic, Nottingham, UK",,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,Supporting The Sundays
