Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
Singles,Galaxie 500,,MASTER,,,1990,,,,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_tugboat_a001.jpg,,
Blue Thunder,Galaxie 500,,CD,4,GB,1990,Rough Trade,RTT246CD,Blue Thunder [w/sax]|Victory Garden|Ceremony|Cold Night,,,,https://static.fullofwishes.co.uk/galaxie500box/images/bluethunder_lg.gif,,|bluethunderwsax|victorygarden|ceremony|coldnight||||
Blue Thunder,Galaxie 500,,12,4,GB,1990,Rough Trade,RTT246,Blue Thunder [w/sax]|Victory Garden,Ceremony|Cold Night,,,https://static.fullofwishes.co.uk/galaxie500box/images/bluethunder_lg.gif,,|bluethunderwsax|victorygarden|ceremony|coldnight|||
Tugboat,Galaxie 500,,7,2,US,1988,Aurora Records,AU 001,Tugboat,King of Spain,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_tugboat_a001.jpg,,|tugboat|kingofspain|||
Rain / Don’t Let Our Youth Go to Waste,Galaxie 500,,7,2,GB,1990,Caff Corporation,CAFF 9,Rain,Don't Let Our Youth Go to Waste,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_rain_a_001.jpg,"Both tracks recorded live at CBGB’s, New York City, May 13, 1989. Cover picture - Dave Rick on the road, 1989.",|rain|dontletouryouthgotowaste|||
Fourth of July,Galaxie 500,,CD,2,GB,1990,Rough Trade,RTT249CD,Fourth of July|Here She Comes Now,,,,,,|fourthofjuly|hereshecomesnow||||
Fourth of July,Galaxie 500,,12,2,GB,1990,Rough Trade,RTT249,Fourth of July,Here She Comes Now,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/galaxie-500-fourth-of-july-rtt249.jpg,,|fourthofjuly|hereshecomesnow|||
Snowstorm / Pictures,Galaxie 500,,7,2,US,2004,Plexifilm,,Snowstorm,Pictures,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_snowstorm_front_002.jpg,"Promo given away with pre-orders of the Galaxie 500 double DVD. Live tracks recorded 30 March 1990 at Club Lingerie, LA.",|snowstorm|pictures|||
Temperature's Rising,Galaxie 500,,7,2,US,2013,Yeti Publishing,,Temperature's Rising,Crazy,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_temperaturesrising.jpg,Free single available with the limited edition of the book Temperature’s Rising: Galaxie 500 an oral and visual history,|temperaturesrising|crazy|||
