Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
A Peace of Us,Dean & Britta,Dean & Britta and Sonic Boom,MASTER,,,2024,,,,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dean-britta-sonic-boom-a-peace-of-you.jpg,,,[202] Dean & Britta & Sonic Boom - A Peace of Us|https://www.fullofwishes.co.uk/2024/12/02/my-record-collection-r11-dean-britta-sonic-boom-a-peace-of-us/
A Peace of Us,Dean & Britta,Dean & Britta and Sonic Boom,LP,14,,2024,Carpark Records,,Snow Is Falling in Manhattan|Pretty Paper|Do You Know How Christmas Trees Are Grown?|Old Toy Trains|Snow|Silver Snowflakes,Stille Nacht|You're All I Want For Christmas|Christmas Can't Be Far Away|He's Coming Home|Little Altar Boy|If We Make It Through December|Peace on Earth / Little Drummer Boy|Happy Xmas (War Is Over),,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dean-britta-sonic-boom-a-peace-of-you.jpg,Emerald green vinyl / Rough Trade exlusive 'Christmas splatter vinyl',Loading...,
