Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
Selected,Galaxie 500,,MASTER,,,1998,,,,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_selected.jpg,,,[263] Selected Galaxie 500|https://www.fullofwishes.co.uk/2025/06/30/my-record-collection-selected-galaxie-500/
Selected,Galaxie 500,,CD,,,1998,Rykodisc,,Fourth of July|Temperature's Rising|Final Day|When Will You Come Home|Blue Thunder [w/sax]|Spook|Oblivious [alternate version]|Another Day|Ceremony|Flowers|The Other Side|Tugboat|Melt Away,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_selected.jpg,,|fourthofjuly|temperaturesrising|finalday|whenwillyoucomehome|bluethunder|spook|oblivious|anotherday|ceremony|flowers|theotherside|tugboat|meltaway||||,
Melt Away,Galaxie 500,,CD,,JP,1998,Rykodisc,,Fourth of July|Temperature's Rising|Final Day|When Will You Come Home|Blue Thunder [w/sax]|Spook|Oblivious [alternate version]|Another Day|Ceremony|Flowers|The Other Side|Tugboat|Melt Away,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_meltaway.jpg,,|fourthofjuly|temperaturesrising|finalday|whenwillyoucomehome|bluethunder|spook|oblivious|anotherday|ceremony|flowers|theotherside|tugboat|meltaway||||,
