Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
False Beats and True Hearts,Damon & Naomi,,MASTER,,,2011,,,,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_falsebeats.jpg,,
False Beats and True Hearts,Damon & Naomi,,CD,,,2011,20|20|20,202020.12,Walking Backwards|How Do I Say Goodbye|Shadow Boxing|Ophelia|Nettles and Ivy|What She Brings|Embers|And You Are There|Helsinki,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_falsebeats.jpg,,walking backwards how do i say goodbye shadow boxing ophelia nettles and ivy what she brings embers and you are there helsinki   
False Beats and True Hearts,Damon & Naomi,,LP,,,2011,20|20|20,202020.12LP,Walking Backwards|How Do I Say Goodbye|Shadow Boxing|Ophelia|Nettles and Ivy,What She Brings|Embers|And You Are There|Helsinki,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_falsebeats.jpg,,walking backwards how do i say goodbye shadow boxing ophelia nettles and ivy what she brings embers and you are there helsinki  
False Beats and True Hearts,Damon & Naomi,,CD,,,2011,Broken Horse,BKH-CD 022,Walking Backwards|How Do I Say Goodbye|Shadow Boxing|Ophelia|Nettles and Ivy|What She Brings|Embers|And You Are There|Helsinki,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_falsebeats.jpg,,walking backwards how do i say goodbye shadow boxing ophelia nettles and ivy what she brings embers and you are there helsinki   
