Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
Compilations,Galaxie 500,,MASTER,,,,,,,,,,,,
Rutles Highway Revisited,Galaxie 500,Various Artists,CD/LP,,US,1989,Shimmy Disc,,Cheese and Onions,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_rutles.jpg,"Produced and Engineered by Kramer at Noise New York 1990 20 track compilation with Unrest, Bongwater, Shonen Knife, Daniel Johnston, etc. From liner notes (a supposed interview with ex-Rutle Ron Nasty (Neil Innes))… Debbie: - O.K., here's the first track. It's by GALAXIE 500. Ron: - Another bloody sequel! Which one have they done? Debbie: - Cheese and Onions Ron: - I like the start, I think this lot have got something, probably constipation, they're obviously high on laxatives…yep, they're speeding up…heading for the lavatory…aaaahh…nope! Ah well, back to the laxatives.",|cheeseandonions||||
Gigantic 2,Galaxie 500,Various Artists,CD,,UK,1990,Melody Maker,,Flowers [live],,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_gigantic.jpg,"Live. Melody Maker/Rough Trade compilation. Recorded live in Amsterdam “Nineteen for the Nineties” compilation with Lush, Pale Saints, Mazzy Star…",|flowers||||
