Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
L'Avventura,Dean & Britta,,MASTER,,,2003,,,,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_lavventura.jpg,,,[136] Dean & Britta - L’avventura (RSD 2024)|https://www.fullofwishes.co.uk/2024/04/26/my-record-collection-recent-acquisition-16-dean-britta-l-avventura-rsd-2024/;[147] Dean & Britta - L'avventura promo CD|https://www.fullofwishes.co.uk/2024/05/30/my-record-collection-140-dean-britta-l-avventura-promo-cd/;[213] Dean & Britta - L'avventura (CD promo)|https://www.fullofwishes.co.uk/2025/01/09/my-record-collection-dean-britta-l-avventura-cd-promo/;[247] Dean & Britta L'avventura (LP)|https://www.fullofwishes.co.uk/2025/05/05/my-record-collection-dean-britta-l-avventura-lp/;;
L'Avventura,Dean & Britta,,CD,,,2003,Jetset,TWA59CD,Night Nurse|Ginger Snaps|I Deserve It|Out Walking|Moonshot|Hear the Wind Blow|Your Baby|Threw it Away|Knives From Bavaria|Random Rules|Indian Summer (The Doors),,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_lavventura.jpg,,|nightnurse|gingersnaps|ideserveit|outwalking|moonshot|hearthewindblow|yourbaby|threwitaway|knivesfrombavaria|randomrules|indiansummerthedoors||||,
L'Avventura,Dean & Britta,,LP,,,2008,Double Feature,DBL-001,Night Nurse|Ginger Snaps|I Deserve It|Out Walking|Moonshot,Hear the Wind Blow|Your Baby|Threw it Away|Knives From Bavaria|Random Rules|Indian Summer (The Doors),,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_lavventura.jpg,,|nightnurse|gingersnaps|ideserveit|outwalking|moonshot|hearthewindblow|yourbaby|threwitaway|knivesfrombavaria|randomrules|indiansummerthedoors|||,
L'Avventura,Dean & Britta,,CD,,,2008,Double Feature,CD-BL-001,Night Nurse|Ginger Snaps|I Deserve It|Out Walking|Moonshot|Hear the Wind Blow|Your Baby|Threw it Away|Knives From Bavaria|Random Rules|Indian Summer (The Doors)|Your Baby|Knives From Bavaria|Hear the Wind Blow,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_lavventura.jpg,,|nightnurse|gingersnaps|ideserveit|outwalking|moonshot|hearthewindblow|yourbaby|threwitaway|knivesfrombavaria|randomrules|indiansummerthedoors|yourbaby|knivesfrombavaria|hearthewindblow||||,
L'Avventura,Dean & Britta,,2xLP,,,2024,Double Feature,,Night Nurse|Ginger Snaps|I Deserve It|Out Walking|Moonshot,Hear the Wind Blow|Your Baby|Threw It Away|Knives from Bavaria|Random Rules,Indian Summer (The Doors)|Your Baby [Can't Stand the Rain]|Knives from Bavaria [Spoonful of Fun]|Moonshot [Myths of Heaven]|Ginger Snaps [and Sugar Winks],Words You Used to Say|We're Not Supposed to Be Lovers|Since I Lay My Burden Down|Colours|Distractions Pt 1,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/lavventura-rsd-2lp.jpg,,|nightnurse|gingersnaps|ideserveit|outwalking|moonshot|hearthewindblow|yourbaby|threwitaway|knivesfrombavaria|randomrules|indiansummerthedoors|yourbaby|knivesfrombavaria|moonshot|gingersnaps|wordsyouusedtosay|werenotsupposedtobelovers|sinceilaymyburdendown|colours|distractionspt1|,
