Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
Rendezvous,Luna,,MASTER,,,2004,,,,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna_rendezvous.jpg,,,[125] Luna - Rendezvous (LP)|https://www.fullofwishes.co.uk/2024/03/21/my-record-collection-120-luna-rendezvous-lp/;[129] Luna - Rendezvous promo CD|https://www.fullofwishes.co.uk/2024/04/04/my-record-collection-124-luna-rendezvous-promo-cd/;[221] Luna - Rendezvous (CD)|https://www.fullofwishes.co.uk/2025/02/06/my-record-collection-luna-rendezvous-cd/;
Rendezvous,Luna,,CD,11,US,2004,Jetset Records,TWA69CD,Malibu Love Nest|Cindy Tastes of Barbecue|Speedbumps|The Owl and the Pussycat|Astronaut|Broken Chair|Star Spangled Man|Motel Bambi|Still at Home|Buffalo Boots|Rainbow Babe,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna_rendezvous.jpg,,|malibulovenest|cindytastesofbarbecue|speedbumps|theowlandthepussycat|astronaut|brokenchair|starspangledman|motelbambi|stillathome|buffaloboots|rainbowbabe||||,
Rendezvous,Luna,,LP,11,US,2012,Double Feature,,Malibu Love Nest|Cindy Tastes of Barbecue|Speedbumps|The Owl and the Pussycat|Astronaut|Rainbow Babe,Broken Chair|Star Spangled Man|Motel Bambi|Still at Home|Buffalo Boots,,,,,|malibulovenest|cindytastesofbarbecue|speedbumps|theowlandthepussycat|astronaut|rainbowbabe|brokenchair|starspangledman|motelbambi|stillathome|buffaloboots|||,
