Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
The Days of Our Nights,Luna,,MASTER,,,1999,,,,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna_days.jpg,,
The Days of Our Nights,Luna,,CD,12,US,1999,Jericho,90003-2,Dear Diary|Hello Little One|The Old Fashioned Way|Four Thousand Days|Seven Steps to Satan|Superfreaky Memories|Math Wiz|Words Without Wrinkles|The Rustler|US Out of My Pants|The Slow Song|Sweet Child o' Mine,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna_days.jpg,,dear diary hello little one the old fashioned way four thousand days seven steps to satan superfreaky memories math wiz words without wrinkles the rustler us out of my pants the slow song sweet child o' mine   
The Days of Our Nights,Luna,,CD,12,GB,1999,Beggars Banquet,BBQCD209,Dear Diary|Hello Little One|The Old Fashioned Way|Four Thousand Days|Seven Steps to Satan|Superfreaky Memories|Math Wiz|Words Without Wrinkles|The Rustler|US Out of My Pants|The Slow Song|Sweet Child o' Mine,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna_days.jpg,,dear diary hello little one the old fashioned way four thousand days seven steps to satan superfreaky memories math wiz words without wrinkles the rustler us out of my pants the slow song sweet child o' mine   
The Days of Our Nights,Luna,,LP,12,GB,1999,Beggars Banquet,BBQLP209,Dear Diary|Hello Little One|The Old Fashioned Way|Four Thousand Days|Seven Steps to Satan|Superfreaky Memories,Math Wiz|Words Without Wrinkles|The Rustler|US Out of My Pants|The Slow Song|Sweet Child o' Mine,,,,,dear diary hello little one the old fashioned way four thousand days seven steps to satan superfreaky memories math wiz words without wrinkles the rustler us out of my pants the slow song sweet child o' mine  
