Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
The Earth is Blue,Damon & Naomi,,MASTER,,,2005,,,,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_theearthisblue.jpg,,,[082] Damon & Naomi - The Earth is Blue / Beautiful Close Double / A Song For You|https://www.fullofwishes.co.uk/2023/10/19/my-record-collection-079-damon-naomi-the-earth-is-blue-beautiful-close-double-a-song-for-you/;[220] Damon & Naomi - The Earth is Blue (CD)|https://www.fullofwishes.co.uk/2025/02/03/my-record-collection-damon-naomi-the-earth-is-blue-cd/;[250] Damon & Naomi - The Earth is Blue (promo CD)|https://www.fullofwishes.co.uk/2025/05/15/my-record-collection-damon-naomi-the-earth-is-blue-promo-cd/;[269] Damon & Naomi - The Earth is Blue (LP)|https://www.fullofwishes.co.uk/2025/07/21/my-record-collection-damon-naomi-the-earth-is-blue-lp/;
The Earth is Blue,Damon & Naomi,,CD,,,2005,20|20|20,202020.01,Beautiful Close Double|A Second Life|Malibran|House of Glass|Sometimes|While My Guitar Gently Weeps|Ueno Station|The Robot Speaks|Araçá Azul|The Earth is Blue,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_theearthisblue.jpg,,|beautifulclosedouble|asecondlife|malibran|houseofglass|sometimes|whilemyguitargentlyweeps|uenostation|therobotspeaks|aracaazul|theearthisblue||||,
The Earth is Blue,Damon & Naomi,,LP,,,2005,20|20|20,202020.01LP,Beautiful Close Double|A Second Life|Malibran|House of Glass|Sometimes,While My Guitar Gently Weeps|Ueno Station|The Robot Speaks|Araçá Azul|The Earth is Blue,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_theearthisblue.jpg,,|beautifulclosedouble|asecondlife|malibran|houseofglass|sometimes|whilemyguitargentlyweeps|uenostation|therobotspeaks|aracaazul|theearthisblue|||,
The Earth is Blue,Damon & Naomi,,CD,,,2005,Sonic Unyon,SUNCD105,Beautiful Close Double|A Second Life|Malibran|House of Glass|Sometimes|While My Guitar Gently Weeps|Ueno Station|The Robot Speaks|Araçá Azul|The Earth is Blue,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_theearthisblue.jpg,,|beautifulclosedouble|asecondlife|malibran|houseofglass|sometimes|whilemyguitargentlyweeps|uenostation|therobotspeaks|aracaazul|theearthisblue||||,
The Earth is Blue,Damon & Naomi,,CD,,,2005,Acuarela Discos,NOIS 1052,Beautiful Close Double|A Second Life|Malibran|House of Glass|Sometimes|While My Guitar Gently Weeps|Ueno Station|The Robot Speaks|Araçá Azul|The Earth is Blue,Beautiful Close Double|A Song for You,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_theearthisblue.jpg,,|beautifulclosedouble|asecondlife|malibran|houseofglass|sometimes|whilemyguitargentlyweeps|uenostation|therobotspeaks|aracaazul|theearthisblue|beautifulclosedouble|asongforyou|||,
The Earth is Blue,Damon & Naomi,,CD,,,2005,P-Vine/20|20|20,PCD 23593,Beautiful Close Double|A Second Life|Malibran|House of Glass|Sometimes|While My Guitar Gently Weeps|Ueno Station|The Robot Speaks|Araçá Azul|The Earth is Blue,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/dan_theearthisblue.jpg,,|beautifulclosedouble|asecondlife|malibran|houseofglass|sometimes|whilemyguitargentlyweeps|uenostation|therobotspeaks|aracaazul|theearthisblue||||,
