Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
Pup Tent,Luna,,MASTER,,,1997,,,,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna_puptent.jpg,,
Pup Tent,Luna,,CD,10,US,1997,Elektra,62055-2,IHOP|Beautiful View|Pup Tent|Bobby Peru|Beggar's Bliss|Tracy I Love You|Whispers|City Kitty|The Creeps|Fuzzy Wuzzy,,,,https://media.fullofwishes.co.uk/02-luna/pictures/luna_puptent_front.jpg,,|ihop|beautifulview|puptent|bobbyperu|beggarsbliss|tracyiloveyou|whispers|citykitty|thecreeps|fuzzywuzzy||||
Pup Tent,Luna,,CD,10,UK,1997,Beggars Banquet,BBQCD194,IHOP|Beautiful View|Pup Tent|Bobby Peru|Beggar's Bliss|Tracy I Love You|Whispers|City Kitty|The Creeps|Fuzzy Wuzzy,,,,https://media.fullofwishes.co.uk/02-luna/pictures/luna_puptent_front.jpg,,|ihop|beautifulview|puptent|bobbyperu|beggarsbliss|tracyiloveyou|whispers|citykitty|thecreeps|fuzzywuzzy||||
Pup Tent,Luna,,LP,10,US,1997,Teenbeat,,IHOP|Beautiful View|Pup Tent|Bobby Peru|Beggar's Bliss,Tracy I Love You|Whispers|City Kitty|The Creeps|Fuzzy Wuzzy,,,,,|ihop|beautifulview|puptent|bobbyperu|beggarsbliss|tracyiloveyou|whispers|citykitty|thecreeps|fuzzywuzzy|||
Pup Tent,Luna,,LP,10,UK,1997,Beggars Banquet,,IHOP|Beautiful View|Pup Tent|Bobby Peru|Beggar's Bliss,Tracy I Love You|Whispers|City Kitty|The Creeps|Fuzzy Wuzzy,,,,,|ihop|beautifulview|puptent|bobbyperu|beggarsbliss|tracyiloveyou|whispers|citykitty|thecreeps|fuzzywuzzy|||
