Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
Quarantine Tapes,Dean & Britta,,MASTER,,,2015,,,,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dean-and-britta-quarantine-tapes-lp.jpg,,,[143] Dean & Britta - Quarantine Tapes (CD)|https://www.fullofwishes.co.uk/2024/05/16/my-record-collection-136-dean-britta-quarantine-tapes-cd/;[017] Dean & Britta - Quarantine Tapes (white label LP)|https://www.fullofwishes.co.uk/2023/03/16/my-record-collection-017-dean-britta-quarantine-tapes-white-label-lp/;[118] Quarantine Tapes (lathe cut box of singles)|https://www.fullofwishes.co.uk/2024/02/26/my-record-collection-113-quarantine-tapes-lathe-cut-box-of-singles/;
Quarantine Tapes,Dean & Britta,,7 x lathe-cut singles,,,2020,PIAPTK,01143-2009-2,Massachusetts|Air|Sadness|Ride Into The Sun|Neon Lights|Neon Lights [Neon Licht (Holy Shit! remix)]|I'm So Bored With The U. S. A.|Drive|Most of The Time|Indian Summer|He Dines Out on Death|23 Minutes in Brussels|Plastic Bird,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dean-and-britta-quarantine-box-3.jpg,,|massachusetts|air|sadness|rideintothesun|neonlights|neonlights|imsoboredwiththeusa|drive|mostofthetime|indiansummer|hedinesoutondeath|23minutesinbrussels|plasticbird||||,
Quarantine Tapes,Dean & Britta,,LP,,,2020,Double Feature,LP-DBL-0017,Neon Lights|Massachusetts|Sadness|He Dines Out on Death|Neon Lights [Neon Licht (Holy Shit! remix)]|I'm So Bored With the U. S. A.,The Carnival is Over|Drive|Most of The Time|Indian Summer|23 Minutes in Brussels,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dean-and-britta-quarantine-tapes-lp.jpg,,|neonlights|massachusetts|sadness|hedinesoutondeath|neonlights|imsoboredwiththeusa|thecarnivalisover|drive|mostofthetime|indiansummer|23minutesinbrussels|||,
Quarantine Tapes,Dean & Britta,,CD,,,2020,Double Feature,CD-DBL-0017,Neon Lights|Massachusetts|Sadness|He Dines Out on Death|Neon Lights [Neon Licht (Holy Shit! remix)]|I'm So Bored With the U. S. A.|The Carnival is Over|Drive|Most of The Time|Indian Summer|23 Minutes in Brussels|Air|Ride Into the Sun,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dean-and-britta-quarantine-tapes-lp.jpg,,|neonlights|massachusetts|sadness|hedinesoutondeath|neonlights|imsoboredwiththeusa|thecarnivalisover|drive|mostofthetime|indiansummer|23minutesinbrussels|air|rideintothesun||||,
